Concept,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax
bear,has_legs,external_component,e,ce,visual-form_and_surface,5,17,468.0,49,ND,0.02,0.011,102.1,35.36,10,b,83,4.42,7158,8.88,4.55,4,3,1,3039.46,757.07,18,19,17,1,5.9,0.113,0.114,146.84,14,12,1,1,7,3,0,0,0,0,5,2
beaver,has_a_tail,external_component,e,ce,visual-form_and_surface,24,1,379.0,39,ND,0.026,0.063,57.1,20.44,10,b,3,1.1,220,5.39,4.05,6,5,2,2620.17,165.15,4,15,13,6,46.2,0.502,0.531,119.69,6,29,1,2,2,1,0,0,0,1,6,2
beetle,has_wings,external_component,e,ce,visual-form_and_surface,9,5,529.0,44,ND,0.023,0.017,93.5,84.35,9,b,1,0.0,556,6.32,4.2,6,4,2,1984.85,344.35,0,13,11,0,0.0,0.056,0.046,99.86,3,5,0,2,6,1,0,0,0,1,1,2
beetle,has_eyes,external_component,e,ce,visual-form_and_surface,5,10,118.0,16,ND,0.063,0.042,7.65,7.65,8,b,1,0.0,556,6.32,4.2,6,4,2,1984.85,344.35,0,13,11,0,0.0,0.056,0.046,99.86,3,5,0,2,6,1,0,0,0,1,1,2
beetle,has_legs,external_component,e,ce,visual-form_and_surface,5,10,489.0,44,ND,0.023,0.01,7.65,7.65,8,b,1,0.0,556,6.32,4.2,6,4,2,1984.85,344.35,0,13,11,0,0.0,0.056,0.046,99.86,3,5,0,2,6,1,0,0,0,1,1,2
beets,has_leaves,external_component,e,ce,visual-form_and_surface,6,10,157.0,15,ND,0.067,0.038,44.56,27.3,10,b,2,0.69,133,4.89,5.5,5,4,1,963.76,44.64,4,15,13,3,23.1,0.222,0.203,149.46,10,22,4,0,2,2,0,0,0,1,4,2
bench,has_legs,external_component,e,ce,visual-form_and_surface,5,10,468.0,49,ND,0.02,0.011,0.0,0.0,10,b,43,3.76,2605,7.87,7.6,5,4,1,1893.63,86.74,5,11,11,4,36.4,0.34,0.334,0.0,0,0,2,0,5,1,0,0,0,1,2,0
bike,has_wheels,external_component,e,ce,visual-form_and_surface,29,1,416.0,23,ND,0.043,0.07,100.43,100.43,10,b,1,0.0,2267,7.73,7.7,4,3,1,2070.95,1018.99,8,20,18,9,50.0,0.482,0.506,369.19,20,56,4,1,11,0,0,0,0,0,2,2
birch,has_leaves,external_component,e,ce,visual-form_and_surface,13,3,157.0,15,ND,0.067,0.083,88.66,67.2,10,b,3,1.1,469,6.15,5.5,5,3,1,1666.7,75.27,2,10,9,3,33.3,0.439,0.469,238.05,9,60,1,0,4,1,0,0,0,0,3,1
blackbird,has_feathers,external_component,e,ce,visual-form_and_surface,22,2,524.0,38,ND,0.026,0.042,319.09,238.13,12,b,1,0.0,300,5.7,3.75,9,7,2,81.32,14.26,0,12,10,0,0.0,0.084,0.069,778.95,27,60,0,2,3,1,2,0,0,0,2,2
blackbird,has_a_beak,external_component,e,ce,visual-form_and_surface,19,4,443.0,38,ND,0.026,0.043,317.35,238.07,10,b,1,0.0,300,5.7,3.75,9,7,2,81.32,14.26,0,12,10,0,0.0,0.084,0.069,778.95,27,60,0,2,3,1,2,0,0,0,2,2
blackbird,has_wings,external_component,e,ce,visual-form_and_surface,17,6,529.0,44,ND,0.023,0.032,251.54,207.18,9,b,1,0.0,300,5.7,3.75,9,7,2,81.32,14.26,0,12,10,0,0.0,0.084,0.069,778.95,27,60,0,2,3,1,2,0,0,0,2,2
blouse,has_buttons,external_component,e,ce,visual-form_and_surface,20,1,163.0,13,ND,0.077,0.123,104.42,88.5,11,b,2,0.69,644,6.47,7.25,6,4,1,1091.18,73.18,0,15,13,3,23.1,0.203,0.219,421.15,21,47,2,0,6,1,0,0,0,1,3,2
bluejay,has_a_beak,external_component,e,ce,visual-form_and_surface,15,4,443.0,38,ND,0.026,0.034,304.19,224.91,10,b,1,0.0,3,1.1,5.1,7,5,2,88.76,5.09,0,12,10,0,0.0,0.064,0.062,602.51,20,44,0,1,4,1,1,0,0,0,3,2
bluejay,has_wings,external_component,e,ce,visual-form_and_surface,14,5,529.0,44,ND,0.023,0.026,251.54,207.18,9,b,1,0.0,3,1.1,5.1,7,5,2,88.76,5.09,0,12,10,0,0.0,0.064,0.062,602.51,20,44,0,1,4,1,1,0,0,0,3,2
bluejay,has_feathers,external_component,e,ce,visual-form_and_surface,10,6,524.0,38,ND,0.026,0.019,307.11,226.15,12,b,1,0.0,3,1.1,5.1,7,5,2,88.76,5.09,0,12,10,0,0.0,0.064,0.062,602.51,20,44,0,1,4,1,1,0,0,0,3,2
broccoli,has_leaves,external_component,e,ce,visual-form_and_surface,7,9,157.0,15,ND,0.067,0.045,62.91,45.65,10,b,1,0.0,134,4.9,7.55,8,7,3,309.85,17.17,0,12,11,2,18.2,0.218,0.23,286.51,17,47,3,0,3,1,0,1,0,0,3,1
broom,has_a_handle,external_component,e,ce,visual-form_and_surface,22,1,508.0,42,ND,0.024,0.043,16.75,16.75,12,b,2,0.69,391,5.97,7.65,5,4,1,867.4,108.06,4,13,13,7,53.8,0.546,0.556,55.94,3,20,5,0,6,0,0,0,0,0,2,0
brush,has_a_handle,external_component,e,ce,visual-form_and_surface,14,2,508.0,42,ND,0.024,0.028,16.75,16.75,12,b,6,1.79,2448,7.8,8.7,5,4,1,638.39,55.64,3,12,12,5,41.7,0.444,0.408,55.94,3,14,6,0,4,0,0,0,0,0,2,0
bucket,has_a_handle,external_component,e,ce,visual-form_and_surface,22,1,508.0,42,ND,0.024,0.043,0.0,0.0,12,b,11,2.4,1404,7.25,6.55,6,5,2,885.63,225.09,1,7,7,0,0.0,0.085,0.082,27.3,3,14,3,0,4,0,0,0,0,0,0,0
budgie,has_feathers,external_component,e,ce,visual-form_and_surface,11,6,524.0,38,ND,0.026,0.021,231.74,150.78,12,b,1,0.0,143,4.96,4.4,6,4,2,149.88,27.01,0,17,15,1,6.7,0.116,0.105,586.13,24,26,0,3,3,4,4,0,0,0,1,2
budgie,has_a_beak,external_component,e,ce,visual-form_and_surface,6,13,443.0,38,ND,0.026,0.014,235.8,156.52,10,b,1,0.0,143,4.96,4.4,6,4,2,149.88,27.01,0,17,15,1,6.7,0.116,0.105,586.13,24,26,0,3,3,4,4,0,0,0,1,2
buffalo,has_legs,external_component,e,ce,visual-form_and_surface,15,4,468.0,49,ND,0.02,0.032,91.67,24.93,10,b,17,2.83,366,5.9,3.5,7,6,3,128.94,12.82,0,15,13,2,15.4,0.194,0.182,106.27,9,16,2,2,4,1,0,0,0,1,3,2
buggy,has_wheels,external_component,e,ce,visual-form_and_surface,19,1,416.0,23,ND,0.043,0.046,97.75,97.75,10,b,7,1.95,231,5.44,4.0,5,4,2,157.51,11.64,3,12,12,1,8.3,0.181,0.186,204.77,10,18,6,0,5,0,0,0,0,0,1,0
buggy,has_a_handle,external_component,e,ce,visual-form_and_surface,7,7,508.0,42,ND,0.024,0.014,0.0,0.0,12,b,7,1.95,231,5.44,4.0,5,4,2,157.51,11.64,3,12,12,1,8.3,0.181,0.186,204.77,10,18,6,0,5,0,0,0,0,0,1,0
building,has_doors,external_component,e,ce,visual-form_and_surface,9,4,163.0,15,ND,0.067,0.055,0.0,0.0,9,b,236,5.46,25691,10.15,8.35,8,6,2,1943.85,1159.52,0,15,15,2,13.3,0.266,0.252,298.33,14,18,3,0,11,0,0,0,0,0,1,0
bus,has_wheels,external_component,e,ce,visual-form_and_surface,14,4,416.0,23,ND,0.043,0.034,79.71,47.9,10,b,40,3.69,6932,8.84,8.35,3,3,1,0.0,0.0,7,17,16,5,31.3,0.343,0.344,187.91,10,18,4,0,8,1,1,0,0,0,2,1
bus,has_doors,external_component,e,ce,visual-form_and_surface,5,16,163.0,15,ND,0.067,0.031,0.0,0.0,9,b,40,3.69,6932,8.84,8.35,3,3,1,0.0,0.0,7,17,16,5,31.3,0.343,0.344,187.91,10,18,4,0,8,1,1,0,0,0,2,1
butterfly,has_wings,external_component,e,ce,visual-form_and_surface,19,2,529.0,44,ND,0.023,0.036,93.5,84.35,9,b,3,1.1,1151,7.05,6.15,9,7,3,493.13,43.13,0,15,13,5,38.5,0.399,0.411,112.32,4,14,0,2,3,2,0,0,0,0,6,2
buzzard,has_feathers,external_component,e,ce,visual-form_and_surface,11,4,524.0,38,ND,0.026,0.021,242.61,161.65,12,b,1,0.0,236,5.46,2.2,7,5,2,194.55,55.64,0,14,11,1,9.1,0.102,0.08,372.2,10,22,0,3,5,1,0,0,0,0,2,3
buzzard,has_a_beak,external_component,e,ce,visual-form_and_surface,8,9,443.0,38,ND,0.026,0.018,260.78,173.25,10,b,1,0.0,236,5.46,2.2,7,5,2,194.55,55.64,0,14,11,1,9.1,0.102,0.08,372.2,10,22,0,3,5,1,0,0,0,0,2,3
buzzard,has_wings,external_component,e,ce,visual-form_and_surface,6,11,529.0,44,ND,0.023,0.011,216.18,171.82,9,b,1,0.0,236,5.46,2.2,7,5,2,194.55,55.64,0,14,11,1,9.1,0.102,0.08,372.2,10,22,0,3,5,1,0,0,0,0,2,3
cabbage,has_leaves,external_component,e,ce,visual-form_and_surface,17,3,157.0,15,ND,0.067,0.108,82.1,64.84,10,k,4,1.39,500,6.21,5.6,7,5,2,429.35,134.91,0,16,15,3,20.0,0.266,0.261,327.84,24,36,6,0,2,2,0,0,1,0,4,1
cabinet,has_doors,external_component,e,ce,visual-form_and_surface,14,3,163.0,15,ND,0.067,0.086,52.75,52.75,9,k,22,3.09,6902,8.84,8.35,7,7,3,457.82,77.06,0,10,9,1,11.1,0.141,0.095,125.88,8,29,2,0,5,0,0,0,0,0,2,1
calf,has_legs,external_component,e,ce,visual-form_and_surface,12,4,468.0,49,ND,0.02,0.026,106.13,64.66,10,k,17,2.83,1083,6.99,4.35,4,3,1,1435.68,313.85,3,14,12,5,41.7,0.409,0.404,114.8,8,38,3,2,5,0,1,0,0,0,1,2
calf,has_a_tail,external_component,e,ce,visual-form_and_surface,7,10,379.0,39,ND,0.026,0.018,64.69,35.13,10,k,17,2.83,1083,6.99,4.35,4,3,1,1435.68,313.85,3,14,12,5,41.7,0.409,0.404,114.8,8,38,3,2,5,0,1,0,0,0,1,2
camel,has_legs,external_component,e,ce,visual-form_and_surface,8,7,489.0,44,ND,0.023,0.016,11.45,0.0,8,k,2,0.69,599,6.4,2.4,5,4,2,747.25,79.42,1,15,13,7,53.8,0.53,0.562,7.22,1,7,2,2,4,2,0,0,0,0,3,2
canary,has_feathers,external_component,e,ce,visual-form_and_surface,14,7,524.0,38,ND,0.026,0.027,272.2,191.24,12,k,1,0.0,372,5.92,3.65,6,6,3,739.32,123.94,1,15,13,0,0.0,0.105,0.105,733.94,25,32,0,3,6,1,2,0,0,0,1,2
canary,has_a_beak,external_component,e,ce,visual-form_and_surface,11,10,443.0,38,ND,0.026,0.025,282.81,203.53,10,k,1,0.0,372,5.92,3.65,6,6,3,739.32,123.94,1,15,13,0,0.0,0.105,0.105,733.94,25,32,0,3,6,1,2,0,0,0,1,2
canary,has_wings,external_component,e,ce,visual-form_and_surface,9,12,529.0,44,ND,0.023,0.017,225.98,181.62,9,k,1,0.0,372,5.92,3.65,6,6,3,739.32,123.94,1,15,13,0,0.0,0.105,0.105,733.94,25,32,0,3,6,1,2,0,0,0,1,2
canary,has_legs,external_component,e,ce,visual-form_and_surface,7,13,489.0,44,ND,0.023,0.014,10.69,10.69,8,k,1,0.0,372,5.92,3.65,6,6,3,739.32,123.94,1,15,13,0,0.0,0.105,0.105,733.94,25,32,0,3,6,1,2,0,0,0,1,2
cannon,has_wheels,external_component,e,ce,visual-form_and_surface,9,8,416.0,23,ND,0.043,0.022,0.0,0.0,10,k,7,1.95,785,6.67,2.95,6,5,2,1014.92,256.49,3,17,16,5,31.3,0.3,0.297,118.93,9,16,2,1,5,1,2,0,0,1,4,1
cantaloupe,has_skin,external_component,e,ce,visual-form_and_surface,11,9,131.0,16,ND,0.063,0.084,168.54,138.2,8,k,1,0.0,4,1.39,6.3,10,8,3,104.77,0.0,0,14,12,2,16.7,0.234,0.234,548.91,31,69,0,0,3,2,0,2,0,2,3,2
car,has_wheels,external_component,e,ce,visual-form_and_surface,19,1,416.0,23,ND,0.043,0.046,136.49,104.68,10,k,386,5.96,35374,10.47,8.6,3,3,1,0.0,0.0,18,16,15,3,20.0,0.268,0.27,349.16,19,29,2,1,7,1,0,0,0,0,4,1
car,has_doors,external_component,e,ce,visual-form_and_surface,13,4,163.0,15,ND,0.067,0.08,0.0,0.0,9,k,386,5.96,35374,10.47,8.6,3,3,1,0.0,0.0,18,16,15,3,20.0,0.268,0.27,349.16,19,29,2,1,7,1,0,0,0,0,4,1
caribou,has_legs,external_component,e,ce,visual-form_and_surface,8,8,489.0,44,ND,0.023,0.016,56.78,45.33,8,k,1,0.0,57,4.04,3.6,7,6,3,595.67,98.53,0,18,15,2,13.3,0.224,0.215,342.19,19,24,2,2,6,1,0,0,0,0,4,3
caribou,has_fur,external_component,e,ce,visual-form_and_surface,7,9,264.0,22,ND,0.045,0.027,63.18,27.62,7,k,1,0.0,57,4.04,3.6,7,6,3,595.67,98.53,0,18,15,2,13.3,0.224,0.215,342.19,19,24,2,2,6,1,0,0,0,0,4,3
cart,has_wheels,external_component,e,ce,visual-form_and_surface,27,1,416.0,23,ND,0.043,0.065,123.9,123.9,10,k,10,2.3,1272,7.15,5.7,4,3,1,1686.33,416.39,14,11,11,1,9.1,0.233,0.222,392.6,16,36,5,0,6,0,0,0,0,0,0,0
cat,has_fur,external_component,e,ce,visual-form_and_surface,22,1,264.0,22,ND,0.045,0.083,84.66,36.92,7,k,41,3.71,5540,8.62,7.65,3,3,1,0.0,0.0,22,20,15,5,33.3,0.364,0.368,147.73,11,24,0,2,8,0,2,0,0,0,3,5
cat,has_legs,external_component,e,ce,visual-form_and_surface,10,6,468.0,49,ND,0.02,0.021,123.65,56.91,10,k,41,3.71,5540,8.62,7.65,3,3,1,0.0,0.0,22,20,15,5,33.3,0.364,0.368,147.73,11,24,0,2,8,0,2,0,0,0,3,5
cat,has_a_tail,external_component,e,ce,visual-form_and_surface,9,10,379.0,39,ND,0.026,0.024,84.73,48.07,10,k,41,3.71,5540,8.62,7.65,3,3,1,0.0,0.0,22,20,15,5,33.3,0.364,0.368,147.73,11,24,0,2,8,0,2,0,0,0,3,5
cat,has_eyes,external_component,e,ce,visual-form_and_surface,5,18,118.0,16,ND,0.063,0.042,34.75,34.75,8,k,41,3.71,5540,8.62,7.65,3,3,1,0.0,0.0,22,20,15,5,33.3,0.364,0.368,147.73,11,24,0,2,8,0,2,0,0,0,3,5
catapult,has_wheels,external_component,e,ce,visual-form_and_surface,5,8,416.0,23,ND,0.043,0.012,0.0,0.0,10,k,1,0.0,189,5.24,2.15,8,8,3,235.6,15.17,0,9,8,3,37.5,0.31,0.294,0.0,0,0,4,0,3,0,0,0,0,0,1,1
catfish,has_fins,external_component,e,ce,visual-form_and_surface,10,6,100.0,11,ND,0.091,0.1,288.01,232.8,8,k,2,0.69,232,5.45,3.35,7,6,2,355.23,29.9,0,10,9,0,0.0,0.115,0.124,639.93,21,58,1,2,4,0,0,0,0,0,2,1
cauliflower,has_leaves,external_component,e,ce,visual-form_and_surface,8,7,157.0,15,ND,0.067,0.051,64.15,46.89,10,k,1,0.0,130,4.87,6.8,11,8,4,0.0,0.0,0,14,13,2,15.4,0.194,0.2,326.25,17,31,5,0,2,2,0,1,0,0,3,1
cedar,has_leaves,external_component,e,ce,visual-form_and_surface,15,1,157.0,15,ND,0.067,0.096,117.58,96.12,10,s,1,0.0,236,5.46,5.5,5,5,2,212.1,7.78,0,15,11,3,27.3,0.259,0.204,335.01,13,46,3,0,5,1,0,0,1,0,1,4
celery,has_leaves,external_component,e,ce,visual-form_and_surface,10,7,157.0,15,ND,0.067,0.064,67.3,50.04,10,s,4,1.39,196,5.28,7.55,6,6,3,558.12,22.93,0,15,14,4,28.6,0.34,0.35,300.62,20,44,2,0,4,1,0,2,0,1,4,1
chair,has_legs,external_component,e,ce,visual-form_and_surface,22,2,489.0,44,ND,0.023,0.045,47.01,47.01,8,tS,89,4.49,10023,9.21,8.7,5,3,1,1594.15,158.01,2,16,15,7,46.7,0.398,0.425,295.15,9,32,3,0,7,0,0,0,0,2,3,1
cheetah,has_legs,external_component,e,ce,visual-form_and_surface,7,10,468.0,49,ND,0.02,0.015,84.65,17.91,10,tS,1,0.0,152,5.02,3.4,7,4,2,354.0,29.71,0,13,9,1,11.1,0.206,0.214,85.99,7,25,1,2,1,2,0,0,0,1,2,4
chickadee,has_a_beak,external_component,e,ce,visual-form_and_surface,15,3,443.0,38,ND,0.026,0.034,317.19,237.91,10,tS,1,0.0,4,1.39,3.8,9,6,3,133.44,16.29,0,15,12,0,0.0,0.047,0.045,609.85,20,30,0,1,5,3,2,0,0,0,1,3
chickadee,has_feathers,external_component,e,ce,visual-form_and_surface,9,8,524.0,38,ND,0.026,0.017,318.94,237.98,12,tS,1,0.0,4,1.39,3.8,9,6,3,133.44,16.29,0,15,12,0,0.0,0.047,0.045,609.85,20,30,0,1,5,3,2,0,0,0,1,3
chickadee,has_wings,external_component,e,ce,visual-form_and_surface,9,8,529.0,44,ND,0.023,0.017,240.53,196.17,9,tS,1,0.0,4,1.39,3.8,9,6,3,133.44,16.29,0,15,12,0,0.0,0.047,0.045,609.85,20,30,0,1,5,3,2,0,0,0,1,3
chicken,has_feathers,external_component,e,ce,visual-form_and_surface,21,2,524.0,38,ND,0.026,0.04,296.42,215.46,12,tS,50,3.91,2579,7.86,7.95,7,5,2,583.27,134.97,1,20,18,6,33.3,0.314,0.308,517.13,18,27,2,4,4,0,2,0,0,0,6,2
chicken,has_wings,external_component,e,ce,visual-form_and_surface,9,7,529.0,44,ND,0.023,0.017,230.73,186.37,9,tS,50,3.91,2579,7.86,7.95,7,5,2,583.27,134.97,1,20,18,6,33.3,0.314,0.308,517.13,18,27,2,4,4,0,2,0,0,0,6,2
chicken,has_a_beak,external_component,e,ce,visual-form_and_surface,8,9,443.0,38,ND,0.026,0.018,290.48,211.2,10,tS,50,3.91,2579,7.86,7.95,7,5,2,583.27,134.97,1,20,18,6,33.3,0.314,0.308,517.13,18,27,2,4,4,0,2,0,0,0,6,2
chicken,has_legs,external_component,e,ce,visual-form_and_surface,5,14,489.0,44,ND,0.023,0.01,22.14,10.69,8,tS,50,3.91,2579,7.86,7.95,7,5,2,583.27,134.97,1,20,18,6,33.3,0.314,0.308,517.13,18,27,2,4,4,0,2,0,0,0,6,2
chimp,has_fur,external_component,e,ce,visual-form_and_surface,9,4,264.0,22,ND,0.045,0.034,35.56,0.0,7,tS,1,0.0,176,5.17,3.25,5,4,1,2156.79,209.31,4,17,14,5,35.7,0.332,0.304,95.62,5,14,1,5,2,1,0,0,0,0,5,3
chipmunk,has_a_tail,external_component,e,ce,visual-form_and_surface,6,11,379.0,39,ND,0.026,0.016,45.23,8.57,10,tS,1,0.0,26,3.26,6.0,8,7,2,317.21,118.84,0,14,12,2,16.7,0.203,0.195,100.55,5,11,0,3,3,2,0,0,0,1,3,2
chisel,has_a_handle,external_component,e,ce,visual-form_and_surface,6,7,508.0,42,ND,0.024,0.012,18.22,0.0,12,tS,5,1.61,233,5.45,3.85,6,4,2,807.15,59.53,0,10,9,6,66.7,0.676,0.674,0.0,0,0,5,0,2,0,0,0,0,1,1,1
closet,has_doors,external_component,e,ce,visual-form_and_surface,15,3,163.0,15,ND,0.067,0.092,52.75,52.75,9,k,12,2.48,260,5.56,8.7,6,6,2,777.48,169.04,3,13,12,5,41.7,0.507,0.502,193.98,7,33,3,0,6,0,0,0,0,0,3,1
coat,has_buttons,external_component,e,ce,visual-form_and_surface,10,3,163.0,13,ND,0.077,0.061,105.28,89.36,11,k,53,3.97,4403,8.39,8.35,4,3,1,5908.93,109.3,9,19,18,1,5.6,0.165,0.137,591.03,32,24,4,0,11,1,0,0,0,1,1,1
cod,has_fins,external_component,e,ce,visual-form_and_surface,5,8,100.0,11,ND,0.091,0.05,245.26,190.05,8,k,6,1.79,385,5.95,3.6,3,3,1,0.0,0.0,22,9,8,2,25.0,0.297,0.281,435.45,13,87,1,1,3,0,0,0,0,0,3,1
comb,has_teeth,external_component,e,ce,visual-form_and_surface,24,1,144.0,14,ND,0.071,0.167,0.0,0.0,9,k,7,1.95,544,6.3,7.9,4,3,1,1700.31,468.74,5,12,12,5,41.7,0.399,0.402,0.0,0,0,4,0,5,1,0,0,0,0,2,0
corkscrew,has_a_handle,external_component,e,ce,visual-form_and_surface,6,5,508.0,42,ND,0.024,0.012,0.0,0.0,12,k,3,1.1,104,4.64,5.6,9,7,2,395.22,11.99,0,10,10,7,70.0,0.656,0.633,0.0,0,0,4,0,4,0,0,0,0,0,2,0
couch,has_legs,external_component,e,ce,visual-form_and_surface,9,7,489.0,44,ND,0.023,0.018,47.01,47.01,8,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1
cougar,has_a_tail,external_component,e,ce,visual-form_and_surface,9,5,379.0,39,ND,0.026,0.024,103.13,66.47,10,k,1,0.0,14,2.64,2.2,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,has_fur,external_component,e,ce,visual-form_and_surface,9,5,264.0,22,ND,0.045,0.034,87.44,51.88,7,k,1,0.0,14,2.64,2.2,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cougar,has_legs,external_component,e,ce,visual-form_and_surface,6,11,468.0,49,ND,0.02,0.013,107.69,40.95,10,k,1,0.0,14,2.64,2.2,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5
cow,has_legs,external_component,e,ce,visual-form_and_surface,13,6,468.0,49,ND,0.02,0.028,126.92,60.18,10,k,45,3.81,2611,7.87,5.4,3,2,1,0.0,0.0,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
cow,has_eyes,external_component,e,ce,visual-form_and_surface,5,18,118.0,16,ND,0.063,0.042,7.65,7.65,8,k,45,3.81,2611,7.87,5.4,3,2,1,0.0,0.0,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2
coyote,has_legs,external_component,e,ce,visual-form_and_surface,14,5,468.0,49,ND,0.02,0.03,116.45,49.71,10,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
coyote,has_a_tail,external_component,e,ce,visual-form_and_surface,5,14,379.0,39,ND,0.026,0.013,80.44,43.78,10,k,2,0.69,52,3.95,2.85,6,5,3,574.18,11.72,0,17,12,2,16.7,0.219,0.211,153.21,14,31,1,0,4,0,1,0,0,1,5,5
