Concept,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax
barn,made_of_wood,made_of,e,m,visual-form_and_surface,22,4,1091.0,79,ND,0.013,0.02,11.75,11.75,12,b,33,3.5,1600,7.38,5.6,4,3,1,1518.6,65.03,12,17,16,8,50.0,0.542,0.543,42.15,2,7,6,0,6,1,0,0,1,0,2,1
barrel,made_of_wood,made_of,e,m,visual-form_and_surface,27,1,1091.0,79,ND,0.013,0.025,11.75,11.75,12,b,32,3.47,1438,7.27,5.05,6,5,2,663.07,72.16,3,11,10,4,40.0,0.378,0.357,11.75,1,7,4,0,5,1,0,0,0,0,0,1
basket,made_of_wood,made_of,e,m,visual-form_and_surface,9,5,1091.0,79,ND,0.013,0.008,0.0,0.0,12,b,19,2.94,1830,7.51,6.9,6,6,2,933.52,108.46,2,9,9,6,66.7,0.679,0.684,0.0,0,0,4,0,3,0,0,0,0,0,2,0
bat_(baseball),made_of_wood,made_of,e,m,visual-form_and_surface,22,1,1091.0,79,ND,0.013,0.02,0.0,0.0,12,b,24,3.18,1578,7.36,6.85,3,3,1,0.0,0.0,22,8,8,3,37.5,0.402,0.398,0.0,0,0,4,0,3,0,0,0,0,1,0,0
bat_(baseball),made_of_metal,made_of,e,m,visual-form_and_surface,16,3,1472.0,133,ND,0.008,0.011,0.0,0.0,13,b,24,3.18,1578,7.36,6.85,3,3,1,0.0,0.0,22,8,8,3,37.5,0.402,0.398,0.0,0,0,4,0,3,0,0,0,0,1,0,0
baton,made_of_metal,made_of,e,m,visual-form_and_surface,10,3,1472.0,133,ND,0.008,0.007,0.0,0.0,13,b,10,2.3,276,5.62,3.2,5,5,2,592.73,10.69,2,10,10,6,60.0,0.555,0.555,0.0,0,0,5,0,4,0,0,0,0,0,1,0
baton,made_of_wood,made_of,e,m,visual-form_and_surface,7,7,1091.0,79,ND,0.013,0.006,0.0,0.0,12,b,10,2.3,276,5.62,3.2,5,5,2,592.73,10.69,2,10,10,6,60.0,0.555,0.555,0.0,0,0,5,0,4,0,0,0,0,0,1,0
bazooka,made_of_metal,made_of,e,m,visual-form_and_surface,8,5,1472.0,133,ND,0.008,0.005,0.0,0.0,13,b,1,0.0,23,3.14,2.05,7,6,3,88.36,0.84,0,11,9,0,0.0,0.119,0.088,152.89,10,28,3,0,2,0,2,0,0,0,2,2
belt,made_of_leather,made_of,e,m,visual-form_and_surface,28,1,206.0,13,ND,0.077,0.136,0.0,0.0,15,b,37,3.61,2695,7.9,7.95,4,4,1,2427.84,248.32,10,13,11,5,45.5,0.409,0.451,29.39,2,13,4,0,6,0,0,0,0,0,1,2
bench,made_of_wood,made_of,e,m,visual-form_and_surface,24,2,1091.0,79,ND,0.013,0.022,0.0,0.0,12,b,43,3.76,2605,7.87,7.6,5,4,1,1893.63,86.74,5,11,11,4,36.4,0.34,0.334,0.0,0,0,2,0,5,1,0,0,0,1,2,0
bench,made_of_metal,made_of,e,m,visual-form_and_surface,9,6,1472.0,133,ND,0.008,0.006,0.0,0.0,13,b,43,3.76,2605,7.87,7.6,5,4,1,1893.63,86.74,5,11,11,4,36.4,0.34,0.334,0.0,0,0,2,0,5,1,0,0,0,1,2,0
bike,made_of_metal,made_of,e,m,visual-form_and_surface,5,14,1472.0,133,ND,0.008,0.003,0.0,0.0,13,b,1,0.0,2267,7.73,7.7,4,3,1,2070.95,1018.99,8,20,18,9,50.0,0.482,0.506,369.19,20,56,4,1,11,0,0,0,0,0,2,2
bin_(waste),made_of_metal,made_of,e,m,visual-form_and_surface,19,2,1472.0,133,ND,0.008,0.013,0.0,0.0,13,b,11,2.4,1291,7.16,8.1,3,3,1,0.0,0.0,18,9,9,3,33.3,0.291,0.282,0.0,0,0,2,0,6,0,0,0,1,0,0,0
bin_(waste),made_of_plastic,made_of,e,m,visual-form_and_surface,12,3,446.0,51,ND,0.02,0.027,0.0,0.0,15,b,11,2.4,1291,7.16,8.1,3,3,1,0.0,0.0,18,9,9,3,33.3,0.291,0.282,0.0,0,0,2,0,6,0,0,0,1,0,0,0
blender,made_of_glass,made_of,e,m,visual-form_and_surface,6,11,171.0,14,ND,0.071,0.035,0.0,0.0,13,b,1,0.0,91,4.51,5.8,7,7,2,927.32,61.04,3,15,14,6,42.9,0.505,0.519,147.86,8,29,5,0,7,0,1,0,0,0,1,1
blender,made_of_plastic,made_of,e,m,visual-form_and_surface,6,11,446.0,51,ND,0.02,0.013,0.0,0.0,15,b,1,0.0,91,4.51,5.8,7,7,2,927.32,61.04,3,15,14,6,42.9,0.505,0.519,147.86,8,29,5,0,7,0,1,0,0,0,1,1
blouse,made_of_cotton,made_of,e,m,visual-form_and_surface,8,9,88.0,12,ND,0.083,0.091,162.28,136.25,14,b,2,0.69,644,6.47,7.25,6,4,1,1091.18,73.18,0,15,13,3,23.1,0.203,0.219,421.15,21,47,2,0,6,1,0,0,0,1,3,2
board_(wood),made_of_wood,made_of,e,m,visual-form_and_surface,20,1,1091.0,79,ND,0.013,0.018,0.0,0.0,12,b,286,5.66,18317,9.82,5.95,5,3,1,1070.84,221.31,3,13,13,7,53.8,0.407,0.396,0.0,0,0,5,0,3,1,0,0,0,1,3,0
boat,made_of_wood,made_of,e,m,visual-form_and_surface,13,4,1091.0,79,ND,0.013,0.012,0.0,0.0,12,b,123,4.81,7391,8.91,6.55,4,3,1,5962.28,89.92,9,10,10,3,30.0,0.224,0.243,35.46,3,14,3,1,4,0,0,0,0,0,2,0
bolts,made_of_metal,made_of,e,m,visual-form_and_surface,17,2,1472.0,133,ND,0.008,0.012,0.0,0.0,13,b,11,2.4,1323,7.19,4.9,5,5,1,513.14,12.43,8,13,12,4,33.3,0.338,0.3,122.17,7,25,5,0,5,0,0,0,0,0,2,1
bookcase,made_of_wood,made_of,e,m,visual-form_and_surface,25,2,1091.0,79,ND,0.013,0.023,20.07,11.75,12,b,3,1.1,233,5.45,8.15,8,6,2,170.0,37.08,0,12,11,2,18.2,0.211,0.218,64.01,5,14,3,0,5,0,0,0,0,0,3,1
bookcase,made_of_metal,made_of,e,m,visual-form_and_surface,7,7,1472.0,133,ND,0.008,0.005,0.0,0.0,13,b,3,1.1,233,5.45,8.15,8,6,2,170.0,37.08,0,12,11,2,18.2,0.211,0.218,64.01,5,14,3,0,5,0,0,0,0,0,3,1
boots,made_of_leather,made_of,e,m,visual-form_and_surface,20,1,206.0,13,ND,0.077,0.097,102.47,102.47,15,b,33,3.5,4731,8.46,8.1,5,4,1,718.72,147.49,11,21,19,3,15.8,0.249,0.224,665.47,28,23,8,0,7,2,0,0,0,0,2,2
bottle,made_of_glass,made_of,e,m,visual-form_and_surface,26,2,171.0,14,ND,0.071,0.152,146.28,120.6,13,b,91,4.51,6002,8.7,8.35,6,4,2,1977.1,752.72,1,15,14,5,35.7,0.404,0.422,232.86,12,33,5,0,5,2,0,0,0,0,2,1
bottle,made_of_plastic,made_of,e,m,visual-form_and_surface,18,4,446.0,51,ND,0.02,0.04,10.9,10.9,15,b,91,4.51,6002,8.7,8.35,6,4,2,1977.1,752.72,1,15,14,5,35.7,0.404,0.422,232.86,12,33,5,0,5,2,0,0,0,0,2,1
bow_(weapon),made_of_wood,made_of,e,m,visual-form_and_surface,14,3,1091.0,79,ND,0.013,0.013,0.0,0.0,12,b,18,2.89,1918,7.56,3.25,3,2,1,0.0,0.0,18,13,12,2,16.7,0.241,0.237,74.61,4,9,4,0,5,0,0,0,0,0,3,1
bow_(weapon),made_of_plastic,made_of,e,m,visual-form_and_surface,5,11,446.0,51,ND,0.02,0.011,0.0,0.0,15,b,18,2.89,1918,7.56,3.25,3,2,1,0.0,0.0,18,13,12,2,16.7,0.241,0.237,74.61,4,9,4,0,5,0,0,0,0,0,3,1
bowl,made_of_plastic,made_of,e,m,visual-form_and_surface,8,7,446.0,51,ND,0.02,0.018,10.9,10.9,15,b,26,3.26,3165,8.06,8.5,4,3,1,1122.63,34.78,7,14,14,3,21.4,0.296,0.271,100.63,7,13,7,0,4,1,0,0,0,0,2,0
box,made_of_wood,made_of,e,m,visual-form_and_surface,7,7,1091.0,79,ND,0.013,0.006,11.75,11.75,12,b,84,4.43,11653,9.36,7.8,3,4,1,0.0,0.0,11,14,13,4,30.8,0.364,0.378,48.58,4,11,2,0,10,1,0,0,0,0,0,1
bra,made_of_cotton,made_of,e,m,visual-form_and_surface,5,17,88.0,12,ND,0.083,0.057,55.52,29.49,14,b,1,0.0,493,6.2,7.45,3,3,1,0.0,0.0,3,20,18,10,55.6,0.475,0.475,97.29,8,29,3,0,9,3,0,0,0,1,2,2
bracelet,made_of_metal,made_of,e,m,visual-form_and_surface,7,9,1472.0,133,ND,0.008,0.005,0.0,0.0,13,b,1,0.0,305,5.72,8.2,8,7,2,318.69,47.53,0,14,12,5,41.7,0.345,0.343,130.38,5,24,3,0,6,0,0,0,0,0,3,2
bridge,made_of_metal,made_of,e,m,visual-form_and_surface,15,3,1472.0,133,ND,0.008,0.01,0.0,0.0,13,b,124,4.82,7562,8.93,7.1,6,4,1,517.9,103.16,2,14,13,6,46.2,0.492,0.503,10.29,1,5,5,0,6,0,0,0,0,0,2,1
bridge,made_of_wood,made_of,e,m,visual-form_and_surface,7,10,1091.0,79,ND,0.013,0.006,0.0,0.0,12,b,124,4.82,7562,8.93,7.1,6,4,1,517.9,103.16,2,14,13,6,46.2,0.492,0.503,10.29,1,5,5,0,6,0,0,0,0,0,2,1
broom,made_of_wood,made_of,e,m,visual-form_and_surface,15,6,1091.0,79,ND,0.013,0.014,0.0,0.0,12,b,2,0.69,391,5.97,7.65,5,4,1,867.4,108.06,4,13,13,7,53.8,0.546,0.556,55.94,3,20,5,0,6,0,0,0,0,0,2,0
broom,made_of_plastic,made_of,e,m,visual-form_and_surface,5,9,446.0,51,ND,0.02,0.011,0.0,0.0,15,b,2,0.69,391,5.97,7.65,5,4,1,867.4,108.06,4,13,13,7,53.8,0.546,0.556,55.94,3,20,5,0,6,0,0,0,0,0,2,0
brush,made_of_plastic,made_of,e,m,visual-form_and_surface,9,4,446.0,51,ND,0.02,0.02,0.0,0.0,15,b,6,1.79,2448,7.8,8.7,5,4,1,638.39,55.64,3,12,12,5,41.7,0.444,0.408,55.94,3,14,6,0,4,0,0,0,0,0,2,0
brush,made_of_metal,made_of,e,m,visual-form_and_surface,6,7,1472.0,133,ND,0.008,0.004,0.0,0.0,13,b,6,1.79,2448,7.8,8.7,5,4,1,638.39,55.64,3,12,12,5,41.7,0.444,0.408,55.94,3,14,6,0,4,0,0,0,0,0,2,0
bucket,made_of_metal,made_of,e,m,visual-form_and_surface,13,2,1472.0,133,ND,0.008,0.009,0.0,0.0,13,b,11,2.4,1404,7.25,6.55,6,5,2,885.63,225.09,1,7,7,0,0.0,0.085,0.082,27.3,3,14,3,0,4,0,0,0,0,0,0,0
bucket,made_of_plastic,made_of,e,m,visual-form_and_surface,13,2,446.0,51,ND,0.02,0.029,17.38,17.38,15,b,11,2.4,1404,7.25,6.55,6,5,2,885.63,225.09,1,7,7,0,0.0,0.085,0.082,27.3,3,14,3,0,4,0,0,0,0,0,0,0
buckle,made_of_metal,made_of,e,m,visual-form_and_surface,19,1,1472.0,133,ND,0.008,0.013,0.0,0.0,13,b,7,1.95,352,5.86,7.65,6,4,2,1062.77,39.56,1,8,8,3,37.5,0.343,0.338,0.0,0,0,2,0,4,0,0,0,0,0,2,0
buckle,made_of_plastic,made_of,e,m,visual-form_and_surface,5,7,446.0,51,ND,0.02,0.011,0.0,0.0,15,b,7,1.95,352,5.86,7.65,6,4,2,1062.77,39.56,1,8,8,3,37.5,0.343,0.338,0.0,0,0,2,0,4,0,0,0,0,0,2,0
buggy,made_of_metal,made_of,e,m,visual-form_and_surface,7,7,1472.0,133,ND,0.008,0.005,0.0,0.0,13,b,7,1.95,231,5.44,4.0,5,4,2,157.51,11.64,3,12,12,1,8.3,0.181,0.186,204.77,10,18,6,0,5,0,0,0,0,0,1,0
building,made_of_wood,made_of,e,m,visual-form_and_surface,7,6,1091.0,79,ND,0.013,0.006,0.0,0.0,12,b,236,5.46,25691,10.15,8.35,8,6,2,1943.85,1159.52,0,15,15,2,13.3,0.266,0.252,298.33,14,18,3,0,11,0,0,0,0,0,1,0
building,made_of_metal,made_of,e,m,visual-form_and_surface,5,13,1472.0,133,ND,0.008,0.003,0.0,0.0,13,b,236,5.46,25691,10.15,8.35,8,6,2,1943.85,1159.52,0,15,15,2,13.3,0.266,0.252,298.33,14,18,3,0,11,0,0,0,0,0,1,0
bullet,made_of_metal,made_of,e,m,visual-form_and_surface,15,4,1472.0,133,ND,0.008,0.01,0.0,0.0,13,b,28,3.33,1270,7.15,3.65,6,5,2,940.43,301.08,4,14,13,7,53.8,0.448,0.416,42.84,2,13,7,1,4,0,0,0,0,0,1,1
bureau,made_of_wood,made_of,e,m,visual-form_and_surface,19,4,1091.0,79,ND,0.013,0.017,28.87,20.55,12,b,45,3.81,1498,7.31,5.5,6,5,2,702.25,132.2,0,12,9,1,11.1,0.242,0.224,264.44,9,32,3,0,4,0,0,0,0,1,1,3
cabin,made_of_wood,made_of,e,m,visual-form_and_surface,22,1,1091.0,79,ND,0.013,0.02,0.0,0.0,12,k,30,3.4,1289,7.16,5.1,5,5,2,609.9,48.56,0,10,10,5,50.0,0.444,0.478,12.12,1,10,2,0,4,0,0,0,0,1,3,0
cabinet,made_of_wood,made_of,e,m,visual-form_and_surface,27,1,1091.0,79,ND,0.013,0.025,28.87,20.55,12,k,22,3.09,6902,8.84,8.35,7,7,3,457.82,77.06,0,10,9,1,11.1,0.141,0.095,125.88,8,29,2,0,5,0,0,0,0,0,2,1
cage,made_of_metal,made_of,e,m,visual-form_and_surface,24,1,1472.0,133,ND,0.008,0.016,0.0,0.0,13,k,11,2.4,1346,7.2,5.65,4,3,1,847.77,75.61,13,13,13,8,61.5,0.657,0.662,7.37,1,10,6,0,6,0,0,0,0,0,1,0
camisole,made_of_cotton,made_of,e,m,visual-form_and_surface,5,12,88.0,12,ND,0.083,0.057,95.37,69.34,14,k,1,0.0,31,3.43,4.2,8,7,3,404.65,44.69,0,18,15,6,40.0,0.371,0.353,214.92,12,33,3,0,7,1,0,0,0,2,2,3
cannon,made_of_metal,made_of,e,m,visual-form_and_surface,6,13,1472.0,133,ND,0.008,0.004,0.0,0.0,13,k,7,1.95,785,6.67,2.95,6,5,2,1014.92,256.49,3,17,16,5,31.3,0.3,0.297,118.93,9,16,2,1,5,1,2,0,0,1,4,1
canoe,made_of_wood,made_of,e,m,visual-form_and_surface,14,4,1091.0,79,ND,0.013,0.013,0.0,0.0,12,k,9,2.2,531,6.27,6.1,5,4,2,428.43,16.15,1,18,17,10,58.8,0.568,0.555,48.32,3,14,6,2,5,0,0,0,0,0,4,1
cap_(bottle),made_of_metal,made_of,e,m,visual-form_and_surface,11,2,1472.0,133,ND,0.008,0.007,0.0,0.0,13,k,33,3.5,2797,7.94,7.95,3,3,1,0.0,0.0,19,9,9,5,55.6,0.505,0.51,0.0,0,0,4,0,4,0,0,0,0,0,1,0
cap_(bottle),made_of_plastic,made_of,e,m,visual-form_and_surface,11,2,446.0,51,ND,0.02,0.025,0.0,0.0,15,k,33,3.5,2797,7.94,7.95,3,3,1,0.0,0.0,19,9,9,5,55.6,0.505,0.51,0.0,0,0,4,0,4,0,0,0,0,0,1,0
cart,made_of_wood,made_of,e,m,visual-form_and_surface,17,3,1091.0,79,ND,0.013,0.016,0.0,0.0,12,k,10,2.3,1272,7.15,5.7,4,3,1,1686.33,416.39,14,11,11,1,9.1,0.233,0.222,392.6,16,36,5,0,6,0,0,0,0,0,0,0
cart,made_of_metal,made_of,e,m,visual-form_and_surface,7,8,1472.0,133,ND,0.008,0.005,0.0,0.0,13,k,10,2.3,1272,7.15,5.7,4,3,1,1686.33,416.39,14,11,11,1,9.1,0.233,0.222,392.6,16,36,5,0,6,0,0,0,0,0,0,0
catapult,made_of_wood,made_of,e,m,visual-form_and_surface,11,3,1091.0,79,ND,0.013,0.01,0.0,0.0,12,k,1,0.0,189,5.24,2.15,8,8,3,235.6,15.17,0,9,8,3,37.5,0.31,0.294,0.0,0,0,4,0,3,0,0,0,0,0,1,1
cello,made_of_wood,made_of,e,m,visual-form_and_surface,16,2,1091.0,79,ND,0.013,0.015,0.0,0.0,12,tS,1,0.0,242,5.49,2.75,5,4,2,322.77,78.83,3,9,8,3,37.5,0.43,0.414,0.0,0,0,1,0,3,0,2,0,0,0,2,1
chain,made_of_metal,made_of,e,m,visual-form_and_surface,17,1,1472.0,133,ND,0.008,0.012,9.25,9.25,13,tS,60,4.09,5015,8.52,7.05,5,3,1,1160.95,474.04,1,11,10,2,20.0,0.24,0.219,18.24,2,7,2,0,4,2,0,0,0,0,2,1
chair,made_of_wood,made_of,e,m,visual-form_and_surface,18,4,1091.0,79,ND,0.013,0.016,8.32,0.0,12,tS,89,4.49,10023,9.21,8.7,5,3,1,1594.15,158.01,2,16,15,7,46.7,0.398,0.425,295.15,9,32,3,0,7,0,0,0,0,2,3,1
chandelier,made_of_glass,made_of,e,m,visual-form_and_surface,6,10,171.0,14,ND,0.071,0.035,0.0,0.0,13,S,4,1.39,217,5.38,6.5,10,8,3,213.28,0.0,0,15,14,7,50.0,0.418,0.44,57.08,2,10,3,0,7,0,0,0,0,1,3,1
chisel,made_of_metal,made_of,e,m,visual-form_and_surface,16,2,1472.0,133,ND,0.008,0.011,8.8,0.0,13,tS,5,1.61,233,5.45,3.85,6,4,2,807.15,59.53,0,10,9,6,66.7,0.676,0.674,0.0,0,0,5,0,2,0,0,0,0,1,1,1
clamp,made_of_metal,made_of,e,m,visual-form_and_surface,14,3,1472.0,133,ND,0.008,0.01,8.8,0.0,13,k,6,1.79,378,5.93,4.1,5,5,1,823.95,131.88,4,10,8,2,25.0,0.378,0.366,109.51,6,40,6,0,2,0,0,0,0,0,0,2
clarinet,made_of_metal,made_of,e,m,visual-form_and_surface,8,7,1472.0,133,ND,0.008,0.005,0.0,0.0,13,k,1,0.0,294,5.68,3.6,8,8,3,522.52,89.47,0,13,12,3,25.0,0.224,0.219,162.24,7,19,4,0,5,1,2,0,0,0,0,1
clarinet,made_of_wood,made_of,e,m,visual-form_and_surface,5,12,1091.0,79,ND,0.013,0.005,0.0,0.0,12,k,1,0.0,294,5.68,3.6,8,8,3,522.52,89.47,0,13,12,3,25.0,0.224,0.219,162.24,7,19,4,0,5,1,2,0,0,0,0,1
coat,made_of_cotton,made_of,e,m,visual-form_and_surface,6,10,88.0,12,ND,0.083,0.068,150.04,124.01,14,k,53,3.97,4403,8.39,8.35,4,3,1,5908.93,109.3,9,19,18,1,5.6,0.165,0.137,591.03,32,24,4,0,11,1,0,0,0,1,1,1
coat,made_of_leather,made_of,e,m,visual-form_and_surface,5,14,206.0,13,ND,0.077,0.024,0.0,0.0,15,k,53,3.97,4403,8.39,8.35,4,3,1,5908.93,109.3,9,19,18,1,5.6,0.165,0.137,591.03,32,24,4,0,11,1,0,0,0,1,1,1
coin,made_of_metal,made_of,e,m,visual-form_and_surface,18,2,1472.0,133,ND,0.008,0.012,0.0,0.0,13,k,19,2.94,2645,7.88,8.85,4,3,1,843.37,42.49,5,11,11,4,36.4,0.375,0.36,0.0,0,0,4,0,6,0,0,0,0,0,1,0
colander,made_of_metal,made_of,e,m,visual-form_and_surface,13,2,1472.0,133,ND,0.008,0.009,0.0,0.0,13,k,1,0.0,54,3.99,2.35,8,8,3,909.34,123.09,0,6,5,1,20.0,0.145,0.176,0.0,0,0,1,0,3,0,0,0,0,0,1,1
colander,made_of_plastic,made_of,e,m,visual-form_and_surface,12,3,446.0,51,ND,0.02,0.027,8.1,0.0,15,k,1,0.0,54,3.99,2.35,8,8,3,909.34,123.09,0,6,5,1,20.0,0.145,0.176,0.0,0,0,1,0,3,0,0,0,0,0,1,1
comb,made_of_plastic,made_of,e,m,visual-form_and_surface,19,3,446.0,51,ND,0.02,0.043,0.0,0.0,15,k,7,1.95,544,6.3,7.9,4,3,1,1700.31,468.74,5,12,12,5,41.7,0.399,0.402,0.0,0,0,4,0,5,1,0,0,0,0,2,0
comb,made_of_metal,made_of,e,m,visual-form_and_surface,6,8,1472.0,133,ND,0.008,0.004,0.0,0.0,13,k,7,1.95,544,6.3,7.9,4,3,1,1700.31,468.74,5,12,12,5,41.7,0.399,0.402,0.0,0,0,4,0,5,1,0,0,0,0,2,0
cork,made_of_wood,made_of,e,m,visual-form_and_surface,9,2,1091.0,79,ND,0.013,0.008,0.0,0.0,12,k,10,2.3,985,6.89,5.7,4,3,1,2541.49,458.63,8,7,7,5,71.4,0.576,0.576,0.0,0,0,4,0,1,1,0,0,0,0,1,0
corkscrew,made_of_metal,made_of,e,m,visual-form_and_surface,21,1,1472.0,133,ND,0.008,0.014,0.0,0.0,13,k,3,1.1,104,4.64,5.6,9,7,2,395.22,11.99,0,10,10,7,70.0,0.656,0.633,0.0,0,0,4,0,4,0,0,0,0,0,2,0
cottage,made_of_wood,made_of,e,m,visual-form_and_surface,12,2,1091.0,79,ND,0.013,0.011,0.0,0.0,12,k,25,3.22,4034,8.3,6.35,7,5,2,1128.17,157.48,0,13,12,4,33.3,0.419,0.365,84.34,5,18,2,0,5,0,0,0,0,0,5,1
couch,made_of_leather,made_of,e,m,visual-form_and_surface,5,14,206.0,13,ND,0.077,0.024,0.0,0.0,15,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1
crane_(machine),made_of_metal,made_of,e,m,visual-form_and_surface,16,3,1472.0,133,ND,0.008,0.011,0.0,0.0,13,k,6,1.79,835,6.73,3.7,5,4,1,891.46,114.36,5,11,10,3,30.0,0.372,0.373,26.68,3,14,4,0,2,1,0,0,0,1,2,1
crossbow,made_of_wood,made_of,e,m,visual-form_and_surface,12,6,1091.0,79,ND,0.013,0.011,0.0,0.0,12,k,1,0.0,113,4.73,3.35,8,6,2,349.97,20.72,0,8,7,2,28.6,0.293,0.243,74.61,4,40,3,0,2,0,0,0,0,0,2,1
crowbar,made_of_metal,made_of,e,m,visual-form_and_surface,27,1,1472.0,133,ND,0.008,0.018,8.8,0.0,13,k,1,0.0,61,4.11,4.0,7,6,2,574.85,55.61,0,12,10,5,50.0,0.362,0.361,0.0,0,0,5,0,2,1,0,0,0,2,0,2
cup,made_of_glass,made_of,e,m,visual-form_and_surface,10,6,171.0,14,ND,0.071,0.058,31.13,31.13,13,k,59,4.08,13575,9.52,8.2,3,3,1,0.0,0.0,9,21,19,4,21.1,0.269,0.257,559.98,29,28,6,0,8,1,0,0,0,0,4,2
cup,made_of_plastic,made_of,e,m,visual-form_and_surface,9,9,446.0,51,ND,0.02,0.02,0.0,0.0,15,k,59,4.08,13575,9.52,8.2,3,3,1,0.0,0.0,9,21,19,4,21.1,0.269,0.257,559.98,29,28,6,0,8,1,0,0,0,0,4,2
cupboard,made_of_wood,made_of,e,m,visual-form_and_surface,17,4,1091.0,79,ND,0.013,0.016,11.75,11.75,12,k,4,1.39,1943,7.57,8.0,8,5,2,180.8,39.61,0,10,10,3,30.0,0.323,0.355,172.17,9,43,5,0,4,0,0,0,0,0,1,0
