feature type,Concept,Feature,pf,attribute type
visual perceptual,gin,is_liquid,10,tactile
visual perceptual,glue,is_liquid,14,tactile
visual perceptual,ketchup,is_liquid,5,tactile
visual perceptual,milk,is_liquid,21,tactile
visual perceptual,perfume,is_liquid,12,tactile
visual perceptual,poison,is_liquid,10,tactile
visual perceptual,soup,is_liquid,17,tactile
visual perceptual,tea,is_liquid,5,tactile
visual perceptual,whisky,is_liquid,8,tactile
visual perceptual,wine,is_liquid,5,tactile
