feature type,Concept,Feature,pf,attribute type
visual perceptual,goldfish,is_orange,18,color
visual perceptual,goldfish,is_yellow,6,color
visual perceptual,goose,is_white,17,color
visual perceptual,gorilla,is_black,13,color
visual perceptual,gown,is_black,6,color
visual perceptual,grape,is_green,24,color
visual perceptual,grape,is_red,17,color
visual perceptual,grapefruit,is_yellow,12,color
visual perceptual,grapefruit,is_pink,10,color
visual perceptual,grapefruit,is_red,6,color
visual perceptual,grasshopper,is_green,27,color
visual perceptual,hair,is_brown,8,color
visual perceptual,hair,is_black,6,color
visual perceptual,hair,is_red,5,color
visual perceptual,ham,is_pink,21,color
visual perceptual,hawk,is_brown,5,color
visual perceptual,heart,is_red,10,color
visual perceptual,hedgehog,is_brown,11,color
visual perceptual,heron,is_grey,9,color
visual perceptual,heron,is_white,7,color
visual perceptual,herring,is_red,5,color
visual perceptual,hippo,is_grey,12,color
visual perceptual,hornet,is_black,10,color
visual perceptual,hornet,is_yellow,9,color
visual perceptual,hose,is_green,9,color
visual perceptual,housefly,is_black,10,color
visual perceptual,ibuprofen,is_white,13,color
visual perceptual,iguana,is_green,15,color
visual perceptual,jam,is_red,7,color
visual perceptual,jeans,is_black,7,color
visual perceptual,jeep,is_green,5,color
visual perceptual,jelly,is_green,5,color
visual perceptual,jelly,is_red,5,color
visual perceptual,kangaroo,is_brown,6,color
visual perceptual,ketchup,is_red,28,color
visual perceptual,kingfisher,is_green,5,color
visual perceptual,ladybird,is_red,25,color
visual perceptual,ladybird,is_black,13,color
visual perceptual,lamb,is_white,12,color
visual perceptual,lantern,is_black,5,color
visual perceptual,leek,is_green,28,color
visual perceptual,leek,is_white,11,color
visual perceptual,lemon,is_yellow,28,color
visual perceptual,leopard,is_yellow,6,color
visual perceptual,leopard,is_black,5,color
visual perceptual,lettuce,is_green,27,color
visual perceptual,lily,is_white,15,color
visual perceptual,lime,is_green,30,color
visual perceptual,limousine,is_black,8,color
visual perceptual,limousine,is_white,6,color
visual perceptual,lion,is_yellow,11,color
visual perceptual,lion,is_brown,5,color
visual perceptual,lips,is_red,13,color
visual perceptual,lips,is_pink,12,color
visual perceptual,lipstick,is_red,14,color
visual perceptual,lipstick,is_pink,10,color
visual perceptual,lizard,is_green,10,color
visual perceptual,llama,is_white,7,color
visual perceptual,llama,is_brown,5,color
visual perceptual,lobster,is_red,17,color
visual perceptual,locust,is_brown,5,color
visual perceptual,locust,is_yellow,5,color
visual perceptual,magpie,is_black,24,color
visual perceptual,magpie,is_white,18,color
visual perceptual,mango,is_green,13,color
visual perceptual,mango,is_orange,11,color
visual perceptual,mango,is_yellow,11,color
visual perceptual,marigold,is_yellow,13,color
visual perceptual,marigold,is_orange,8,color
visual perceptual,mayonnaise,is_white,18,color
visual perceptual,melon,is_yellow,13,color
visual perceptual,melon,is_green,9,color
visual perceptual,milk,is_white,25,color
visual perceptual,millipede,is_black,6,color
visual perceptual,monkey,is_brown,7,color
visual perceptual,moose,is_brown,12,color
visual perceptual,moss,is_green,29,color
visual perceptual,moth,is_brown,6,color
visual perceptual,mushroom,is_grey,7,color
visual perceptual,mussel,is_black,11,color
visual perceptual,napkin,is_white,10,color
visual perceptual,nectarine,is_orange,16,color
visual perceptual,nectarine,is_red,10,color
visual perceptual,nectarine,is_yellow,7,color
visual perceptual,newspaper,is_black,10,color
visual perceptual,newspaper,is_white,9,color
visual perceptual,nightingale,is_brown,5,color
visual perceptual,nut,is_brown,11,color
visual perceptual,olive,is_green,26,color
visual perceptual,olive,is_black,23,color
visual perceptual,onion,is_red,10,color
visual perceptual,onion,is_white,9,color
visual perceptual,onion,is_brown,8,color
visual perceptual,orange,is_orange,25,color
visual perceptual,orchid,is_pink,6,color
visual perceptual,otter,is_brown,15,color
visual perceptual,owl,is_white,5,color
visual perceptual,ox,is_brown,7,color
visual perceptual,pansy,is_yellow,5,color
visual perceptual,panther,is_black,28,color
visual perceptual,parka,is_green,7,color
visual perceptual,parsley,is_green,26,color
visual perceptual,peach,is_orange,10,color
visual perceptual,peach,is_yellow,7,color
visual perceptual,peach,is_pink,5,color
visual perceptual,peacock,is_green,5,color
visual perceptual,peanut,is_brown,12,color
visual perceptual,pear,is_green,22,color
visual perceptual,peas,is_green,30,color
visual perceptual,pelican,is_white,10,color
visual perceptual,pelican,is_black,6,color
visual perceptual,penguin,is_black,19,color
visual perceptual,penguin,is_white,18,color
visual perceptual,piano,is_black,7,color
visual perceptual,pig,is_pink,21,color
visual perceptual,pigeon,is_grey,20,color
visual perceptual,pillow,is_white,8,color
visual perceptual,pine,is_green,8,color
visual perceptual,pine,is_brown,5,color
visual perceptual,pineapple,is_yellow,19,color
visual perceptual,pineapple,is_green,5,color
visual perceptual,platypus,is_brown,5,color
visual perceptual,plum,is_yellow,5,color
visual perceptual,poppy,is_red,29,color
visual perceptual,poppy,is_black,12,color
visual perceptual,porcupine,is_brown,9,color
visual perceptual,porcupine,is_white,5,color
visual perceptual,potato,is_brown,9,color
visual perceptual,potato,is_white,5,color
visual perceptual,prawn,is_pink,26,color
visual perceptual,prune,is_black,6,color
visual perceptual,pumpkin,is_orange,29,color
visual perceptual,pyramid,is_yellow,5,color
visual perceptual,raccoon,is_black,14,color
visual perceptual,raccoon,is_white,14,color
visual perceptual,radish,is_red,21,color
visual perceptual,radish,is_white,15,color
visual perceptual,radish,is_pink,9,color
visual perceptual,raisin,is_brown,12,color
visual perceptual,raisin,is_black,7,color
visual perceptual,raspberry,is_red,24,color
visual perceptual,raspberry,is_pink,6,color
visual perceptual,raven,is_black,27,color
visual perceptual,recorder,is_black,5,color
visual perceptual,rhino,is_grey,21,color
visual perceptual,rhino,is_white,6,color
visual perceptual,rhino,is_black,5,color
visual perceptual,rhubarb,is_red,17,color
visual perceptual,rhubarb,is_green,8,color
visual perceptual,rhubarb,is_pink,6,color
visual perceptual,rice,is_white,20,color
visual perceptual,rice,is_brown,6,color
visual perceptual,robin,is_brown,7,color
visual perceptual,robin,is_red,5,color
visual perceptual,rock,is_grey,9,color
visual perceptual,rope,is_brown,6,color
visual perceptual,rose,is_red,21,color
visual perceptual,rose,is_pink,9,color
visual perceptual,rose,is_white,7,color
visual perceptual,salmon,is_pink,20,color
visual perceptual,sandpaper,is_yellow,7,color
visual perceptual,satchel,is_brown,6,color
visual perceptual,satsuma,is_orange,26,color
visual perceptual,scallop,is_white,6,color
visual perceptual,scorpion,is_black,10,color
visual perceptual,seagull,is_white,23,color
visual perceptual,seagull,is_grey,8,color
visual perceptual,seaweed,is_green,21,color
visual perceptual,seaweed,is_brown,5,color
visual perceptual,shark,is_grey,5,color
visual perceptual,sheep,is_white,9,color
visual perceptual,sheep,is_black,5,color
visual perceptual,shrimp,is_pink,13,color
visual perceptual,sink,is_white,7,color
visual perceptual,skunk,is_black,27,color
visual perceptual,skunk,is_white,25,color
visual perceptual,slug,is_black,6,color
visual perceptual,slug,is_brown,6,color
visual perceptual,sparrow,is_brown,18,color
visual perceptual,spider,is_black,7,color
visual perceptual,spinach,is_green,26,color
visual perceptual,squirrel,is_red,19,color
visual perceptual,squirrel,is_grey,18,color
visual perceptual,starling,is_black,9,color
visual perceptual,starling,is_brown,5,color
visual perceptual,stick,is_brown,8,color
visual perceptual,stockings,is_black,6,color
visual perceptual,stone,is_grey,7,color
visual perceptual,strawberry,is_red,24,color
visual perceptual,sugar,is_white,20,color
visual perceptual,sugar,is_brown,14,color
visual perceptual,suit,is_black,7,color
visual perceptual,sultana,is_brown,10,color
visual perceptual,sunflower,is_yellow,25,color
visual perceptual,sunflower,is_brown,8,color
visual perceptual,swan,is_white,28,color
visual perceptual,sycamore,is_green,10,color
visual perceptual,tangerine,is_orange,24,color
visual perceptual,tank,is_green,5,color
visual perceptual,tarantula,is_black,6,color
visual perceptual,taxi,is_yellow,18,color
visual perceptual,taxi,is_black,16,color
visual perceptual,tea,is_brown,10,color
visual perceptual,termite,is_brown,5,color
visual perceptual,tiger,is_orange,18,color
visual perceptual,tiger,is_black,13,color
visual perceptual,tights,is_black,8,color
visual perceptual,toad,is_green,20,color
visual perceptual,toad,is_brown,8,color
visual perceptual,tobacco,is_brown,8,color
visual perceptual,toilet,is_white,6,color
visual perceptual,tomato,is_red,30,color
visual perceptual,tomato,is_green,7,color
visual perceptual,tongue,is_pink,15,color
visual perceptual,tongue,is_red,9,color
visual perceptual,tortoise,is_green,9,color
visual perceptual,turnip,is_white,16,color
visual perceptual,turtle,is_green,10,color
visual perceptual,tyre,is_black,15,color
visual perceptual,van,is_white,11,color
visual perceptual,veil,is_white,9,color
visual perceptual,walrus,is_brown,8,color
visual perceptual,walrus,is_grey,5,color
visual perceptual,wand,is_black,8,color
visual perceptual,wand,is_white,5,color
visual perceptual,wasp,is_black,26,color
visual perceptual,wasp,is_yellow,25,color
visual perceptual,watermelon,is_red,13,color
visual perceptual,watermelon,is_pink,10,color
visual perceptual,watermelon,is_green,6,color
visual perceptual,wetsuit,is_black,8,color
visual perceptual,whisky,is_brown,7,color
visual perceptual,willow,is_green,9,color
visual perceptual,wine,is_red,26,color
visual perceptual,wine,is_white,26,color
visual perceptual,wolf,is_grey,11,color
visual perceptual,worm,is_pink,9,color
visual perceptual,worm,is_brown,6,color
visual perceptual,wren,is_brown,8,color
visual perceptual,yoghurt,is_white,11,color
visual perceptual,zebra,is_black,20,color
visual perceptual,zebra,is_white,20,color
