,Unnamed: 0,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax,Concept,Feature
26,26,external_surface_property,e,se,visual-colour,13,6,607.0,50,ND,0.02,0.021,0.0,0.0,8,k,7,1.95,785,6.67,2.95,6,5,2,1014.92,256.49,3,17,16,5,31.3,0.3,0.297,118.93,9,16,2,1,5,1,2,0,0,1,4,1,cañón,negro
27,27,external_surface_property,e,se,visual-colour,12,7,210.0,15,ND,0.067,0.057,63.71,54.68,9,k,1,0.0,4,1.39,6.3,10,8,3,104.77,0.0,0,14,12,2,16.7,0.234,0.234,548.91,31,69,0,0,3,2,0,2,0,2,3,2,cantalupo,naranja
28,28,external_surface_property,e,se,visual-colour,8,4,607.0,50,ND,0.02,0.013,0.0,0.0,8,k,24,3.18,1045,6.95,4.05,4,3,1,873.87,45.11,14,12,11,7,63.6,0.623,0.602,0.0,0,0,4,1,2,1,0,0,0,0,3,1,capa,negro
29,29,external_surface_property,e,se,visual-colour,5,15,480.0,54,ND,0.019,0.01,23.29,0.0,8,k,1,0.0,57,4.04,3.6,7,6,3,595.67,98.53,0,18,15,2,13.3,0.224,0.215,342.19,19,24,2,2,6,1,0,0,0,0,4,3,caribú,marrón
30,30,external_surface_property,e,se,visual-colour,27,1,210.0,15,ND,0.067,0.129,0.0,0.0,9,k,5,1.61,872,6.77,7.6,6,5,2,768.79,117.43,1,18,16,6,37.5,0.369,0.389,275.2,15,33,4,0,4,2,0,0,0,1,5,2,zanahoria,naranja
31,31,external_surface_property,e,se,visual-colour,5,12,834.0,47,ND,0.021,0.006,0.0,0.0,8,k,2,0.69,375,5.93,5.35,11,8,4,0.0,0.0,0,14,13,4,30.8,0.297,0.304,20.91,2,6,1,2,3,3,0,0,0,1,3,1,oruga,verde
32,32,external_surface_property,e,se,visual-colour,26,1,634.0,51,ND,0.02,0.041,0.0,0.0,8,k,1,0.0,130,4.87,6.8,11,8,4,0.0,0.0,0,14,13,2,15.4,0.194,0.2,326.25,17,31,5,0,2,2,0,1,0,0,3,1,coliflor,blanco
33,33,external_surface_property,e,se,visual-colour,5,11,834.0,47,ND,0.021,0.006,9.74,9.74,8,s,1,0.0,236,5.46,5.5,5,5,2,212.1,7.78,0,15,11,3,27.3,0.259,0.204,335.01,13,46,3,0,5,1,0,0,1,0,1,4,cedro,verde
34,34,external_surface_property,e,se,visual-colour,27,1,834.0,47,ND,0.021,0.032,97.37,73.96,8,s,4,1.39,196,5.28,7.55,6,6,3,558.12,22.93,0,15,14,4,28.6,0.34,0.35,300.62,20,44,2,0,4,1,0,2,0,1,4,1,apio,verde
35,35,external_surface_property,e,se,visual-colour,7,10,345.0,27,ND,0.037,0.02,0.0,0.0,9,tS,1,0.0,152,5.02,3.4,7,4,2,354.0,29.71,0,13,9,1,11.1,0.206,0.214,85.99,7,25,1,2,1,2,0,0,0,1,2,4,guepardo,amarillo
36,36,external_surface_property,e,se,visual-colour,27,1,382.0,26,ND,0.038,0.071,21.02,7.48,6,tS,8,2.08,1096,7.0,6.9,6,4,2,457.23,43.32,2,12,10,1,10.0,0.147,0.171,234.85,12,33,1,0,4,1,0,2,0,0,2,2,cereza,rojo
37,37,external_surface_property,e,se,visual-colour,5,15,480.0,54,ND,0.019,0.01,23.29,0.0,8,tS,1,0.0,176,5.17,3.25,5,4,1,2156.79,209.31,4,17,14,5,35.7,0.332,0.304,95.62,5,14,1,5,2,1,0,0,0,0,5,3,chimpancé,marrón
38,38,external_surface_property,e,se,visual-colour,16,3,480.0,54,ND,0.019,0.033,0.0,0.0,8,s,12,2.48,704,6.56,4.6,5,5,2,949.62,31.96,0,11,11,4,36.4,0.301,0.335,51.89,2,10,1,0,4,1,0,0,1,0,4,0,puro,marrón
39,39,external_surface_property,e,se,visual-colour,9,6,634.0,51,ND,0.02,0.014,0.0,0.0,8,s,37,3.61,3614,8.19,5.2,9,7,3,197.15,54.61,0,13,13,9,69.2,0.61,0.591,36.13,1,17,1,0,3,1,0,0,1,0,7,0,cigarillo,blanco
40,40,external_surface_property,e,se,visual-colour,12,4,607.0,50,ND,0.02,0.02,0.0,0.0,8,k,1,0.0,294,5.68,3.6,8,8,3,522.52,89.47,0,13,12,3,25.0,0.224,0.219,162.24,7,19,4,0,5,1,2,0,0,0,0,1,clarinete,negro
42,42,external_surface_property,e,se,visual-colour,6,6,480.0,54,ND,0.019,0.013,0.0,0.0,8,k,10,2.3,985,6.89,5.7,4,3,1,2541.49,458.63,8,7,7,5,71.4,0.576,0.576,0.0,0,0,4,0,1,1,0,0,0,0,1,0,corcho,marrón
43,43,external_surface_property,e,se,visual-colour,23,1,345.0,27,ND,0.037,0.067,0.0,0.0,9,k,36,3.58,1224,7.11,7.85,4,3,1,2298.73,121.11,10,13,12,6,50.0,0.531,0.55,11.05,1,7,3,0,5,1,0,1,0,0,2,1,maíz,amarillo
44,44,external_surface_property,e,se,visual-colour,6,11,480.0,54,ND,0.019,0.013,23.29,0.0,8,k,1,0.0,14,2.64,2.2,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5,puma,marrón
45,45,external_surface_property,e,se,visual-colour,17,2,382.0,26,ND,0.038,0.045,6.74,0.0,6,k,2,0.69,565,6.34,4.2,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3,cangrejo,rojo
46,46,external_surface_property,e,se,visual-colour,24,1,382.0,26,ND,0.038,0.063,45.21,21.46,6,k,1,0.0,121,4.8,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.32,0.291,164.3,11,31,2,0,2,1,0,3,0,0,4,2,arándano,rojo
47,47,external_surface_property,e,se,visual-colour,6,7,345.0,27,ND,0.037,0.017,0.0,0.0,9,k,6,1.79,835,6.73,3.7,5,4,1,891.46,114.36,5,11,10,3,30.0,0.372,0.373,26.68,3,14,4,0,2,1,0,0,0,1,2,1,grúa,amarillo
48,48,external_surface_property,e,se,visual-colour,10,5,834.0,47,ND,0.021,0.012,0.0,0.0,8,k,1,0.0,389,5.96,2.65,9,8,3,291.99,31.91,0,17,15,3,20.0,0.181,0.195,201.9,9,14,0,3,7,1,0,0,0,0,4,2,cocodrilo,verde
49,49,external_surface_property,e,se,visual-colour,25,1,607.0,50,ND,0.02,0.041,0.0,0.0,8,k,3,1.1,533,6.28,5.0,4,3,1,2164.56,69.47,6,13,11,2,18.2,0.162,0.158,360.89,9,25,0,2,4,1,3,0,0,0,1,2,cuervo,negro
50,50,external_surface_property,e,se,visual-colour,6,8,607.0,50,ND,0.02,0.01,0.0,0.0,8,k,1,0.0,61,4.11,4.0,7,6,2,574.85,55.61,0,12,10,5,50.0,0.362,0.361,0.0,0,0,5,0,2,1,0,0,0,2,0,2,palanca,negro
51,51,external_surface_property,e,se,visual-colour,23,4,834.0,47,ND,0.021,0.028,69.67,46.26,8,k,1,0.0,252,5.53,7.1,8,9,3,472.34,92.43,0,16,15,4,26.7,0.295,0.288,261.92,15,27,3,0,5,3,0,0,0,2,2,1,pepino,verde
53,53,external_surface_property,e,se,visual-colour,7,10,480.0,54,ND,0.019,0.015,23.29,0.0,8,d,13,2.56,930,6.84,5.4,4,3,1,2800.84,113.27,10,20,16,2,12.5,0.2,0.199,381.41,23,25,2,2,7,2,0,0,0,0,3,4,ciervo,marrón
54,54,external_surface_property,e,se,visual-colour,25,1,634.0,51,ND,0.02,0.039,0.0,0.0,8,d,5,1.61,458,6.13,3.7,4,3,1,3310.75,274.58,13,10,9,1,11.1,0.183,0.166,456.0,12,43,0,1,3,1,0,0,0,0,4,1,paloma,blanco
55,55,external_surface_property,e,se,visual-colour,7,8,480.0,54,ND,0.019,0.015,30.15,6.86,8,E,2,0.69,40,3.69,2.65,3,3,1,0.0,0.0,3,16,13,1,7.7,0.155,0.131,192.64,14,21,2,2,5,1,0,0,0,1,2,3,uapití,marrón
56,56,external_surface_property,e,se,visual-colour,26,1,834.0,47,ND,0.021,0.031,0.0,0.0,8,E,9,2.2,345,5.84,4.05,7,7,3,229.89,61.29,0,12,9,5,55.6,0.589,0.598,13.44,1,17,3,0,1,1,0,0,0,0,4,3,esmeralda,verde
57,57,external_surface_property,e,se,visual-colour,13,4,634.0,51,ND,0.02,0.021,0.0,0.0,8,E,24,3.18,1860,7.53,7.9,8,7,3,234.94,39.02,0,11,11,7,63.6,0.608,0.621,0.0,0,0,4,0,3,2,0,0,0,0,2,0,sobre,blanco
59,59,external_surface_property,e,se,visual-colour,9,8,480.0,54,ND,0.019,0.019,23.29,0.0,8,f,1,0.0,145,4.98,3.8,4,3,1,1039.03,32.82,5,26,21,3,14.3,0.202,0.169,259.81,17,11,2,4,7,1,0,0,0,1,6,5,cervato,marrón
60,60,external_surface_property,e,se,visual-colour,5,7,634.0,51,ND,0.02,0.008,0.0,0.0,8,f,46,3.83,2289,7.74,8.15,5,4,1,948.93,241.77,2,11,8,4,50.0,0.484,0.464,0.0,0,0,3,0,3,1,0,0,0,0,1,3,valla,blanco
61,61,external_surface_property,e,se,visual-colour,5,10,345.0,27,ND,0.037,0.014,0.0,0.0,9,f,1,0.0,354,5.87,3.25,5,4,1,2077.23,277.85,3,10,9,0,0.0,0.04,0.037,505.99,19,53,0,2,4,1,1,0,0,0,1,1,pinzón,amarillo
62,62,external_surface_property,e,se,visual-colour,12,5,607.0,50,ND,0.02,0.02,0.0,0.0,8,f,2,0.69,331,5.8,4.35,4,3,1,273.14,29.33,5,17,15,8,53.3,0.601,0.613,35.23,3,14,0,3,1,1,0,0,0,0,10,2,pulga,negro
64,64,external_surface_property,e,se,visual-colour,15,3,382.0,26,ND,0.038,0.039,0.0,0.0,6,f,13,2.56,2741,7.92,4.7,3,4,1,0.0,0.0,8,17,14,2,14.3,0.175,0.166,209.7,16,24,1,1,6,1,0,0,0,0,5,3,zorro,rojo
65,65,external_surface_property,e,se,visual-colour,9,11,634.0,51,ND,0.02,0.014,0.0,0.0,8,f,2,0.69,527,6.27,8.35,7,6,2,927.82,57.89,1,19,18,9,50.0,0.545,0.546,181.47,10,28,8,0,5,1,0,0,0,1,3,1,congelador,blanco
66,66,external_surface_property,e,se,visual-colour,10,10,634.0,51,ND,0.02,0.016,0.0,0.0,8,f,1,0.0,1052,6.96,8.8,6,4,1,467.16,106.07,2,19,18,4,22.2,0.31,0.304,312.57,18,20,4,0,9,1,0,0,0,2,2,1,frigorífico,blanco
67,67,external_surface_property,e,se,visual-colour,26,1,834.0,47,ND,0.021,0.031,0.0,0.0,8,f,2,0.69,960,6.87,5.45,4,4,1,2962.21,264.63,3,16,14,3,21.4,0.254,0.255,263.05,11,20,0,5,3,1,1,0,0,0,4,2,rana,verde
68,68,external_surface_property,e,se,visual-colour,14,5,634.0,51,ND,0.02,0.022,0.0,0.0,8,g,4,1.39,802,6.69,7.85,6,5,2,571.8,133.71,0,21,20,14,70.0,0.56,0.581,31.75,2,13,10,0,4,1,0,2,2,0,1,1,ajo,blanco
69,69,external_surface_property,e,se,visual-colour,6,15,634.0,51,ND,0.02,0.009,0.0,0.0,8,g,6,1.79,1201,7.09,4.05,4,3,1,5890.29,81.85,7,20,18,7,38.9,0.333,0.33,261.13,20,36,2,5,7,1,0,0,0,0,3,2,cabra,blanco
70,71,external_surface_property,e,se,visual-colour,11,5,634.0,51,ND,0.02,0.017,0.0,0.0,8,g,7,1.95,889,6.79,4.9,5,3,1,1892.71,512.27,4,15,13,2,15.4,0.203,0.206,605.27,19,35,1,1,6,1,1,0,0,0,3,2,ganso,blanco
71,72,external_surface_property,e,se,visual-colour,9,6,480.0,54,ND,0.019,0.019,13.23,0.0,8,g,1,0.0,13,2.56,2.6,6,4,2,1841.01,451.34,0,8,7,0,0.0,0.093,0.111,118.59,4,19,0,1,4,1,0,0,0,0,1,1,taltuza,marrón
72,73,external_surface_property,e,se,visual-colour,8,9,607.0,50,ND,0.02,0.013,0.0,0.0,8,g,1,0.0,209,5.34,2.65,7,6,3,532.83,8.03,0,16,14,5,35.7,0.365,0.384,54.38,3,8,0,2,4,1,0,0,0,1,6,2,gorila,negro
73,74,external_surface_property,e,se,visual-colour,20,4,345.0,27,ND,0.037,0.058,54.42,45.84,9,g,3,1.1,135,4.91,6.2,10,8,2,47.19,0.0,0,22,21,3,14.3,0.232,0.235,1391.84,53,35,4,0,7,2,0,1,0,1,6,1,toronja,amarillo
74,75,external_surface_property,e,se,visual-colour,26,1,834.0,47,ND,0.021,0.031,7.1,7.1,8,g,4,1.39,104,4.64,4.95,11,8,3,0.0,0.0,0,13,12,2,16.7,0.188,0.208,125.51,6,13,1,3,5,1,0,0,0,0,2,1,saltamontes,verde
75,76,external_surface_property,e,se,visual-colour,18,3,834.0,47,ND,0.021,0.022,0.0,0.0,8,g,9,2.2,373,5.92,2.2,7,6,2,527.52,55.7,0,15,13,5,38.5,0.354,0.369,50.26,3,11,4,0,4,1,2,0,0,0,2,2,grenada,verde
76,77,external_surface_property,e,se,visual-colour,12,3,480.0,54,ND,0.019,0.025,29.12,15.89,8,g,1,0.0,5,1.61,3.85,9,8,2,160.91,7.82,0,14,12,6,50.0,0.495,0.484,94.08,4,27,1,2,1,1,0,0,0,1,6,2,marmota,marrón
77,78,external_surface_property,e,se,visual-colour,8,9,607.0,50,ND,0.02,0.013,0.0,0.0,8,g,119,4.78,5505,8.61,3.5,3,3,1,0.0,0.0,14,16,14,1,7.1,0.143,0.139,849.93,33,42,7,1,2,1,2,0,0,0,1,2,pistola,negro
78,79,external_surface_property,e,se,visual-colour,5,11,480.0,54,ND,0.019,0.01,23.29,0.0,8,h,1,0.0,159,5.07,6.1,7,7,2,1228.52,145.19,0,14,10,3,30.0,0.291,0.276,31.91,3,14,0,4,3,1,0,0,0,1,1,4,hámster,marrón
79,80,external_surface_property,e,se,visual-colour,15,2,834.0,47,ND,0.021,0.018,0.0,0.0,8,h,11,2.4,388,5.96,5.75,4,3,1,1480.45,151.04,11,16,15,9,60.0,0.585,0.585,8.76,1,7,4,0,6,1,0,0,0,0,4,1,manguera,verde
80,81,external_surface_property,e,se,visual-colour,14,4,607.0,50,ND,0.02,0.023,0.0,0.0,8,h,1,0.0,6,1.79,6.85,8,7,2,477.41,1.03,0,15,13,2,15.4,0.198,0.216,187.63,7,13,1,3,5,1,1,0,0,0,2,2,mosca,negro
81,82,external_surface_property,e,se,visual-colour,19,1,834.0,47,ND,0.021,0.023,0.0,0.0,8,I,1,0.0,44,3.78,3.15,6,6,3,104.52,1.88,0,17,13,3,23.1,0.321,0.34,199.89,10,22,0,1,7,1,0,0,0,2,2,4,iguana,verde
82,83,external_surface_property,e,se,visual-colour,5,13,834.0,47,ND,0.021,0.006,0.0,0.0,8,dZ,16,2.77,576,6.36,6.9,4,3,1,2102.41,256.34,7,14,12,6,50.0,0.539,0.557,69.8,2,13,3,0,3,1,0,0,0,0,5,2,todoterreno,verde
83,84,external_surface_property,e,se,visual-colour,28,1,345.0,27,ND,0.037,0.081,45.0,36.42,9,l,19,2.94,1351,7.21,7.15,5,5,2,367.7,18.07,1,17,16,3,18.8,0.255,0.233,596.14,29,37,6,0,4,1,0,2,0,1,2,1,limón,amarillo
84,85,external_surface_property,e,se,visual-colour,28,2,834.0,47,ND,0.021,0.034,97.37,73.96,8,l,1,0.0,448,6.1,7.95,7,5,2,883.74,148.22,0,18,15,6,40.0,0.398,0.388,290.39,21,58,4,0,2,1,0,0,0,1,7,3,lechuga,verde
85,86,external_surface_property,e,se,visual-colour,29,1,834.0,47,ND,0.021,0.035,0.0,0.0,8,l,13,2.56,706,6.56,5.35,4,3,1,4096.24,917.57,12,13,12,4,33.3,0.361,0.35,222.23,10,36,3,0,2,1,0,2,0,1,3,1,lima,verde
86,87,external_surface_property,e,se,visual-colour,26,1,382.0,26,ND,0.038,0.068,6.74,0.0,6,l,1,0.0,334,5.81,5.85,7,7,2,1153.71,144.13,0,17,14,1,7.1,0.097,0.091,154.98,7,9,3,1,4,1,0,1,0,0,4,3,langosta,rojo
87,88,external_surface_property,e,se,visual-colour,22,1,210.0,15,ND,0.067,0.105,92.25,83.22,9,m,1,0.0,329,5.8,3.7,8,8,3,337.79,37.87,0,15,13,0,0.0,0.105,0.08,625.28,33,42,1,0,5,1,0,2,0,1,3,2,mandarina,naranja
88,89,external_surface_property,e,se,visual-colour,12,3,480.0,54,ND,0.019,0.025,20.09,6.86,8,m,4,1.39,898,6.8,2.55,4,3,1,2109.31,110.72,14,14,12,3,25.0,0.245,0.245,85.29,3,8,0,2,6,1,0,0,0,1,2,2,topo,marrón
89,90,external_surface_property,e,se,visual-colour,10,8,480.0,54,ND,0.019,0.021,23.29,0.0,8,m,1,0.0,98,4.58,3.35,5,3,1,1939.63,499.25,4,15,12,0,0.0,0.096,0.099,331.61,19,29,2,0,7,1,0,0,0,0,2,3,alce,marrón
90,91,external_surface_property,e,se,visual-colour,11,4,634.0,51,ND,0.02,0.017,0.0,0.0,8,n,5,1.61,317,5.76,8.25,6,6,2,254.75,5.7,0,14,14,6,42.9,0.509,0.521,51.36,5,18,5,0,3,2,0,0,0,1,3,0,servilleta,blanco
91,92,external_surface_property,e,se,visual-colour,15,4,210.0,15,ND,0.067,0.071,44.58,35.55,9,n,1,0.0,36,3.58,6.2,9,8,3,881.06,129.29,0,17,16,4,25.0,0.275,0.276,564.33,28,42,0,0,6,1,0,2,0,3,4,1,nectarina,naranja
92,93,external_surface_property,e,se,visual-colour,6,10,480.0,54,ND,0.019,0.013,0.0,0.0,8,@U,2,0.69,1950,7.58,6.1,3,2,1,0.0,0.0,4,11,10,1,10.0,0.189,0.202,125.63,5,14,2,0,4,1,0,0,0,1,2,1,roble,marrón
93,94,external_surface_property,e,se,visual-colour,10,11,210.0,15,ND,0.067,0.048,87.8,78.77,9,O,29,3.37,3081,8.03,8.2,6,5,2,677.64,208.91,1,16,14,1,7.1,0.181,0.212,1296.22,51,65,1,0,6,1,0,1,0,1,4,2,naranja,naranja
94,95,external_surface_property,e,se,visual-colour,10,5,480.0,54,ND,0.019,0.021,23.29,0.0,8,O,5,1.61,348,5.85,2.7,5,4,2,3071.94,749.15,3,9,7,0,0.0,0.041,0.045,98.0,4,19,0,2,2,1,0,0,0,0,2,2,nutria,marrón
95,96,external_surface_property,e,se,visual-colour,7,11,480.0,54,ND,0.019,0.015,13.23,0.0,8,aU,4,1.39,1648,7.41,4.1,3,2,1,0.0,0.0,3,13,11,1,9.1,0.193,0.21,434.8,12,27,0,2,4,1,1,0,0,0,3,2,búho,marrón
96,97,external_surface_property,e,se,visual-colour,9,7,480.0,54,ND,0.019,0.019,30.15,6.86,8,O,15,2.71,336,5.82,2.3,2,3,1,0.0,0.0,9,11,9,2,22.2,0.17,0.144,26.31,3,14,1,1,3,1,0,0,0,1,2,2,buey,marrón
