,Unnamed: 0,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax,Concept,Feature
10,10,external_surface_property,e,se,visual-form_and_surface,17,2,823.0,76,ND,0.013,0.021,7.95,7.95,8,b,123,4.81,9107,9.12,8.35,4,3,1,3261.22,442.52,18,9,9,1,11.1,0.226,0.201,63.05,5,18,5,0,1,1,0,0,0,1,1,0,pelota,redondo
11,11,external_surface_property,e,se,visual-form_and_surface,8,7,823.0,76,ND,0.013,0.01,0.0,0.0,8,b,2,0.69,49,3.89,3.15,5,5,2,354.46,21.93,0,12,11,3,27.3,0.358,0.344,76.35,3,11,4,0,4,0,2,0,0,0,1,1,banyo,redondo
12,12,external_surface_property,e,se,visual-form_and_surface,13,6,1076.0,106,ND,0.009,0.012,0.0,0.0,8,b,33,3.5,1600,7.38,5.6,4,3,1,1518.6,65.03,12,17,16,8,50.0,0.542,0.543,42.15,2,7,6,0,6,1,0,0,1,0,2,1,granero,grande
13,13,external_surface_property,e,se,visual-form_and_surface,5,12,1076.0,106,ND,0.009,0.005,0.0,0.0,8,b,5,1.61,33,3.5,8.05,7,6,2,428.51,22.23,0,16,16,8,50.0,0.434,0.385,156.19,3,11,7,0,3,1,0,0,0,1,4,0,bañera,grande
14,14,external_surface_property,e,se,visual-form_and_surface,5,4,844.0,81,ND,0.012,0.006,0.0,0.0,7,b,9,2.2,161,5.08,1.75,7,6,3,244.49,30.39,1,7,6,2,33.3,0.274,0.228,36.74,2,33,1,0,1,0,0,0,0,1,3,1,bayoneta,largo
15,15,external_surface_property,e,se,visual-form_and_surface,6,9,1076.0,106,ND,0.009,0.006,0.0,0.0,8,b,1,0.0,23,3.14,2.05,7,6,3,88.36,0.84,0,11,9,0,0.0,0.119,0.088,152.89,10,28,3,0,2,0,2,0,0,0,2,2,bazuca,grande
16,16,external_surface_property,e,se,visual-form_and_surface,6,9,1229.0,121,ND,0.008,0.005,0.0,0.0,8,b,14,2.64,1857,7.53,7.0,5,4,1,1913.71,331.6,9,15,12,3,25.0,0.288,0.276,142.09,9,25,3,0,2,3,0,0,0,0,4,3,frijol,pequeño
17,17,external_surface_property,e,se,visual-form_and_surface,23,1,1076.0,106,ND,0.009,0.021,19.51,8.84,8,b,83,4.42,7158,8.88,4.55,4,3,1,3039.46,757.07,18,19,17,1,5.9,0.113,0.114,146.84,14,12,1,1,7,3,0,0,0,0,5,2,oso,grande
18,18,external_surface_property,e,se,visual-form_and_surface,5,9,1229.0,121,ND,0.008,0.004,0.0,0.0,8,b,56,4.03,5967,8.69,8.95,7,6,2,647.21,60.94,0,10,9,5,55.6,0.585,0.67,108.43,3,50,2,0,6,0,0,0,0,0,1,1,dormitorio,pequeño
19,19,external_surface_property,e,se,visual-form_and_surface,12,3,823.0,76,ND,0.013,0.015,13.4,13.4,8,b,2,0.69,133,4.89,5.5,5,4,1,963.76,44.64,4,15,13,3,23.1,0.222,0.203,149.46,10,22,4,0,2,2,0,0,0,1,4,2,remolacha,redondo
20,20,external_surface_property,e,se,visual-form_and_surface,11,4,844.0,81,ND,0.012,0.013,0.0,0.0,7,b,43,3.76,2605,7.87,7.6,5,4,1,1893.63,86.74,5,11,11,4,36.4,0.34,0.334,0.0,0,0,2,0,5,1,0,0,0,1,2,0,banco,largo
21,21,external_surface_property,e,se,visual-form_and_surface,17,2,1076.0,106,ND,0.009,0.016,28.04,17.37,8,b,1,0.0,52,3.95,2.75,5,4,2,204.59,5.24,0,10,8,2,25.0,0.314,0.311,81.34,6,40,2,1,1,1,0,0,0,1,2,2,bisonte,grande
22,23,external_surface_property,e,se,visual-form_and_surface,6,10,1229.0,121,ND,0.008,0.005,0.0,0.0,8,b,123,4.81,7391,8.91,6.55,4,3,1,5962.28,89.92,9,10,10,3,30.0,0.224,0.243,35.46,3,14,3,1,4,0,0,0,0,0,2,0,barca,pequeño
23,24,external_surface_property,e,se,visual-form_and_surface,7,8,1229.0,121,ND,0.008,0.006,0.0,0.0,8,b,11,2.4,1323,7.19,4.9,5,5,1,513.14,12.43,8,13,12,4,33.3,0.338,0.3,122.17,7,25,5,0,5,0,0,0,0,0,2,1,pernos,pequeño
24,25,external_surface_property,e,se,visual-form_and_surface,6,13,844.0,81,ND,0.012,0.007,0.0,0.0,7,b,33,3.5,4731,8.46,8.1,5,4,1,718.72,147.49,11,21,19,3,15.8,0.249,0.224,665.47,28,23,8,0,7,2,0,0,0,0,2,2,bota,largo
25,26,external_surface_property,e,se,visual-form_and_surface,19,1,823.0,76,ND,0.013,0.023,0.0,0.0,8,b,26,3.26,3165,8.06,8.5,4,3,1,1122.63,34.78,7,14,14,3,21.4,0.296,0.271,100.63,7,13,7,0,4,1,0,0,0,0,2,0,bol,redondo
26,27,external_surface_property,e,se,visual-form_and_surface,16,5,844.0,81,ND,0.012,0.019,0.0,0.0,7,b,2,0.69,391,5.97,7.65,5,4,1,867.4,108.06,4,13,13,7,53.8,0.546,0.556,55.94,3,20,5,0,6,0,0,0,0,0,2,0,escoba,largo
27,28,external_surface_property,e,se,visual-form_and_surface,11,5,823.0,76,ND,0.013,0.013,0.0,0.0,8,b,11,2.4,1404,7.25,6.55,6,5,2,885.63,225.09,1,7,7,0,0.0,0.085,0.082,27.3,3,14,3,0,4,0,0,0,0,0,0,0,cubo,redondo
28,29,external_surface_property,e,se,visual-form_and_surface,6,6,1229.0,121,ND,0.008,0.005,0.0,0.0,8,b,7,1.95,352,5.86,7.65,6,4,2,1062.77,39.56,1,8,8,3,37.5,0.343,0.338,0.0,0,0,2,0,4,0,0,0,0,0,2,0,hebilla,pequeño
29,30,external_surface_property,e,se,visual-form_and_surface,9,9,1229.0,121,ND,0.008,0.007,0.0,0.0,8,b,1,0.0,143,4.96,4.4,6,4,2,149.88,27.01,0,17,15,1,6.7,0.116,0.105,586.13,24,26,0,3,3,4,4,0,0,0,1,2,periquito,pequeño
30,31,external_surface_property,e,se,visual-form_and_surface,20,2,1076.0,106,ND,0.009,0.019,28.04,17.37,8,b,17,2.83,366,5.9,3.5,7,6,3,128.94,12.82,0,15,13,2,15.4,0.194,0.182,106.27,9,16,2,2,4,1,0,0,0,1,3,2,búfalo,grande
31,32,external_surface_property,e,se,visual-form_and_surface,18,3,1076.0,106,ND,0.009,0.017,10.67,0.0,8,b,16,2.77,2173,7.68,3.6,4,3,1,2254.2,233.88,15,12,9,6,66.7,0.689,0.706,0.0,0,0,1,0,2,0,0,0,0,0,6,3,toro,grande
32,33,external_surface_property,e,se,visual-form_and_surface,12,6,1229.0,121,ND,0.008,0.01,0.0,0.0,8,b,28,3.33,1270,7.15,3.65,6,5,2,940.43,301.08,4,14,13,7,53.8,0.448,0.416,42.84,2,13,7,1,4,0,0,0,0,0,1,1,bala,pequeño
33,34,external_surface_property,e,se,visual-form_and_surface,15,4,1229.0,121,ND,0.008,0.012,0.0,0.0,8,b,1,0.0,754,6.63,4.3,8,7,3,222.48,7.53,0,9,8,3,37.5,0.492,0.469,208.87,6,60,2,0,6,0,0,0,0,0,0,1,bungalow,pequeño
34,35,external_surface_property,e,se,visual-form_and_surface,5,10,1076.0,106,ND,0.009,0.005,0.0,0.0,8,b,45,3.81,1498,7.31,5.5,6,5,2,702.25,132.2,0,12,9,1,11.1,0.242,0.224,264.44,9,32,3,0,4,0,0,0,0,1,1,3,agencia,grande
35,36,external_surface_property,e,se,visual-form_and_surface,8,10,1076.0,106,ND,0.009,0.007,0.0,0.0,8,b,40,3.69,6932,8.84,8.35,3,3,1,0.0,0.0,7,17,16,5,31.3,0.343,0.344,187.91,10,18,4,0,8,1,1,0,0,0,2,1,autobús,grande
36,37,external_surface_property,e,se,visual-form_and_surface,7,10,1229.0,121,ND,0.008,0.006,0.0,0.0,8,b,3,1.1,1151,7.05,6.15,9,7,3,493.13,43.13,0,15,13,5,38.5,0.399,0.411,112.32,4,14,0,2,3,2,0,0,0,0,6,2,mariposa,pequeño
37,38,external_surface_property,e,se,visual-form_and_surface,8,9,1076.0,106,ND,0.009,0.007,0.0,0.0,8,b,1,0.0,236,5.46,2.2,7,5,2,194.55,55.64,0,14,11,1,9.1,0.102,0.08,372.2,10,22,0,3,5,1,0,0,0,0,2,3,aura,grande
38,39,external_surface_property,e,se,visual-form_and_surface,10,7,823.0,76,ND,0.013,0.012,0.0,0.0,8,k,4,1.39,500,6.21,5.6,7,5,2,429.35,134.91,0,16,15,3,20.0,0.266,0.261,327.84,24,36,6,0,2,2,0,0,1,0,4,1,repollo,redondo
39,40,external_surface_property,e,se,visual-form_and_surface,9,6,1229.0,121,ND,0.008,0.007,0.0,0.0,8,k,30,3.4,1289,7.16,5.1,5,5,2,609.9,48.56,0,10,10,5,50.0,0.444,0.478,12.12,1,10,2,0,4,0,0,0,0,1,3,0,cabaña,pequeño
40,41,external_surface_property,e,se,visual-form_and_surface,6,8,1229.0,121,ND,0.008,0.005,0.0,0.0,8,k,11,2.4,1346,7.2,5.65,4,3,1,847.77,75.61,13,13,13,8,61.5,0.657,0.662,7.37,1,10,6,0,6,0,0,0,0,0,1,0,juala,pequeño
41,42,external_surface_property,e,se,visual-form_and_surface,11,7,1229.0,121,ND,0.008,0.009,0.0,0.0,8,k,17,2.83,1083,6.99,4.35,4,3,1,1435.68,313.85,3,14,12,5,41.7,0.409,0.404,114.8,8,38,3,2,5,0,1,0,0,0,1,2,ternero,pequeño
42,43,external_surface_property,e,se,visual-form_and_surface,5,12,1076.0,106,ND,0.009,0.005,10.67,0.0,8,k,2,0.69,599,6.4,2.4,5,4,2,747.25,79.42,1,15,13,7,53.8,0.53,0.562,7.22,1,7,2,2,4,2,0,0,0,0,3,2,camello,grande
43,44,external_surface_property,e,se,visual-form_and_surface,15,5,1229.0,121,ND,0.008,0.012,0.0,0.0,8,k,1,0.0,372,5.92,3.65,6,6,3,739.32,123.94,1,15,13,0,0.0,0.105,0.105,733.94,25,32,0,3,6,1,2,0,0,0,1,2,canario,pequeño
44,45,external_surface_property,e,se,visual-form_and_surface,9,8,1076.0,106,ND,0.009,0.008,0.0,0.0,8,k,7,1.95,785,6.67,2.95,6,5,2,1014.92,256.49,3,17,16,5,31.3,0.3,0.297,118.93,9,16,2,1,5,1,2,0,0,1,4,1,cañón,grande
45,46,external_surface_property,e,se,visual-form_and_surface,17,3,823.0,76,ND,0.013,0.021,48.39,38.0,8,k,1,0.0,4,1.39,6.3,10,8,3,104.77,0.0,0,14,12,2,16.7,0.234,0.234,548.91,31,69,0,0,3,2,0,2,0,2,3,2,cantalupo,redondo
46,47,external_surface_property,e,se,visual-form_and_surface,14,2,844.0,81,ND,0.012,0.017,0.0,0.0,7,k,24,3.18,1045,6.95,4.05,4,3,1,873.87,45.11,14,12,11,7,63.6,0.623,0.602,0.0,0,0,4,1,2,1,0,0,0,0,3,1,capa,largo
47,48,external_surface_property,e,se,visual-form_and_surface,14,3,1076.0,106,ND,0.009,0.013,19.51,8.84,8,k,1,0.0,57,4.04,3.6,7,6,3,595.67,98.53,0,18,15,2,13.3,0.224,0.215,342.19,19,24,2,2,6,1,0,0,0,0,4,3,caribú,grande
48,49,external_surface_property,e,se,visual-form_and_surface,8,11,844.0,81,ND,0.012,0.009,0.0,0.0,7,k,5,1.61,872,6.77,7.6,6,5,2,768.79,117.43,1,18,16,6,37.5,0.369,0.389,275.2,15,33,4,0,4,2,0,0,0,1,5,2,zanahoria,largo
49,50,external_surface_property,e,se,visual-form_and_surface,5,11,1076.0,106,ND,0.009,0.005,0.0,0.0,8,k,10,2.3,1272,7.15,5.7,4,3,1,1686.33,416.39,14,11,11,1,9.1,0.233,0.222,392.6,16,36,5,0,6,0,0,0,0,0,0,0,carro,grande
50,51,external_surface_property,e,se,visual-form_and_surface,6,6,1076.0,106,ND,0.009,0.006,0.0,0.0,8,k,1,0.0,189,5.24,2.15,8,8,3,235.6,15.17,0,9,8,3,37.5,0.31,0.294,0.0,0,0,4,0,3,0,0,0,0,0,1,1,catapulta,grande
51,52,external_surface_property,e,se,visual-form_and_surface,17,2,1076.0,106,ND,0.009,0.016,0.0,0.0,8,k,11,2.4,2723,7.91,4.7,9,8,3,263.93,35.48,0,13,11,3,27.3,0.399,0.38,637.9,10,36,5,0,4,0,0,0,0,0,2,2,catedral,grande
52,53,external_surface_property,e,se,visual-form_and_surface,7,10,844.0,81,ND,0.012,0.008,0.0,0.0,7,s,4,1.39,196,5.28,7.55,6,6,3,558.12,22.93,0,15,14,4,28.6,0.34,0.35,300.62,20,44,2,0,4,1,0,2,0,1,4,1,apio,largo
53,54,external_surface_property,e,se,visual-form_and_surface,13,4,1076.0,106,ND,0.009,0.012,0.0,0.0,8,tS,1,0.0,242,5.49,2.75,5,4,2,322.77,78.83,3,9,8,3,37.5,0.43,0.414,0.0,0,0,1,0,3,0,2,0,0,0,2,1,violonchelo,grande
54,55,external_surface_property,e,se,visual-form_and_surface,7,9,844.0,81,ND,0.012,0.008,0.0,0.0,7,tS,60,4.09,5015,8.52,7.05,5,3,1,1160.95,474.04,1,11,10,2,20.0,0.24,0.219,18.24,2,7,2,0,4,2,0,0,0,0,2,1,cadena,largo
55,56,external_surface_property,e,se,visual-form_and_surface,19,2,1229.0,121,ND,0.008,0.015,0.0,0.0,8,tS,1,0.0,4,1.39,3.8,9,6,3,133.44,16.29,0,15,12,0,0.0,0.047,0.045,609.85,20,30,0,1,5,3,2,0,0,0,1,3,carbonero,pequeño
57,58,external_surface_property,e,se,visual-form_and_surface,5,13,1076.0,106,ND,0.009,0.005,0.0,0.0,8,tS,144,4.97,24058,10.09,6.1,6,3,1,639.45,196.06,0,15,14,8,57.1,0.542,0.549,657.66,10,67,4,0,4,0,0,0,0,0,6,1,iglesia,grande
58,59,external_surface_property,e,se,visual-form_and_surface,5,11,823.0,76,ND,0.013,0.006,0.0,0.0,8,s,37,3.61,3614,8.19,5.2,9,7,3,197.15,54.61,0,13,13,9,69.2,0.61,0.591,36.13,1,17,1,0,3,1,0,0,1,0,7,0,cigarillo,redondo
59,60,external_surface_property,e,se,visual-form_and_surface,8,7,844.0,81,ND,0.012,0.009,0.0,0.0,7,k,1,0.0,294,5.68,3.6,8,8,3,522.52,89.47,0,13,12,3,25.0,0.224,0.219,162.24,7,19,4,0,5,1,2,0,0,0,0,1,clarinete,largo
61,62,external_surface_property,e,se,visual-form_and_surface,9,8,823.0,76,ND,0.013,0.011,0.0,0.0,8,k,28,3.33,3404,8.13,8.6,5,4,1,973.91,213.38,7,14,12,8,66.7,0.7,0.716,13.33,1,17,3,0,5,0,1,0,0,0,3,2,reloj,redondo
62,63,external_surface_property,e,se,visual-form_and_surface,10,7,1229.0,121,ND,0.008,0.008,0.0,0.0,8,k,12,2.48,260,5.56,8.7,6,6,2,777.48,169.04,3,13,12,5,41.7,0.507,0.502,193.98,7,33,3,0,6,0,0,0,0,0,3,1,armario,pequeño
63,64,external_surface_property,e,se,visual-form_and_surface,7,8,844.0,81,ND,0.012,0.008,0.0,0.0,7,k,53,3.97,4403,8.39,8.35,4,3,1,5908.93,109.3,9,19,18,1,5.6,0.165,0.137,591.03,32,24,4,0,11,1,0,0,0,1,1,1,abrigo,largo
64,65,external_surface_property,e,se,visual-form_and_surface,5,21,823.0,76,ND,0.013,0.006,19.82,9.43,8,k,10,2.3,373,5.92,5.35,7,7,3,701.54,12.77,0,21,20,3,15.0,0.253,0.271,582.8,27,20,2,0,6,4,0,2,0,2,4,1,coco,redondo
66,67,external_surface_property,e,se,visual-form_and_surface,5,14,1076.0,106,ND,0.009,0.005,0.0,0.0,8,k,13,2.56,574,6.35,8.05,5,3,1,3910.02,776.27,6,20,19,6,31.6,0.319,0.313,527.36,18,23,6,0,7,0,0,0,0,3,3,1,sofá,grande
67,68,external_surface_property,e,se,visual-form_and_surface,5,15,1076.0,106,ND,0.009,0.005,10.67,0.0,8,k,1,0.0,14,2.64,2.2,6,4,2,896.05,267.21,0,23,18,2,11.1,0.171,0.148,200.97,17,14,0,3,7,1,0,0,0,0,7,5,puma,grande
68,69,external_surface_property,e,se,visual-form_and_surface,16,5,1076.0,106,ND,0.009,0.015,10.67,0.0,8,k,45,3.81,2611,7.87,5.4,3,2,1,0.0,0.0,23,22,20,6,30.0,0.259,0.264,212.46,15,16,3,4,5,3,1,0,1,0,3,2,vaca,grande
69,70,external_surface_property,e,se,visual-form_and_surface,6,12,1229.0,121,ND,0.008,0.005,0.0,0.0,8,k,2,0.69,565,6.34,4.2,4,4,1,106.15,19.02,6,16,13,3,23.1,0.308,0.316,113.65,9,20,1,1,5,1,0,1,0,1,3,3,cangrejo,pequeño
70,71,external_surface_property,e,se,visual-form_and_surface,8,10,1229.0,121,ND,0.008,0.007,0.0,0.0,8,k,1,0.0,121,4.8,4.05,9,8,3,227.15,17.04,0,14,12,3,25.0,0.32,0.291,164.3,11,31,2,0,2,1,0,3,0,0,4,2,arándano,pequeño
71,72,external_surface_property,e,se,visual-form_and_surface,18,2,1076.0,106,ND,0.009,0.017,0.0,0.0,8,k,6,1.79,835,6.73,3.7,5,4,1,891.46,114.36,5,11,10,3,30.0,0.372,0.373,26.68,3,14,4,0,2,1,0,0,0,1,2,1,grúa,grande
72,73,external_surface_property,e,se,visual-form_and_surface,7,7,1076.0,106,ND,0.009,0.007,0.0,0.0,8,k,3,1.1,533,6.28,5.0,4,3,1,2164.56,69.47,6,13,11,2,18.2,0.162,0.158,360.89,9,25,0,2,4,1,3,0,0,0,1,2,cuervo,grande
73,74,external_surface_property,e,se,visual-form_and_surface,9,4,844.0,81,ND,0.012,0.011,0.0,0.0,7,k,1,0.0,61,4.11,4.0,7,6,2,574.85,55.61,0,12,10,5,50.0,0.362,0.361,0.0,0,0,5,0,2,1,0,0,0,2,0,2,palanca,largo
74,75,external_surface_property,e,se,visual-form_and_surface,10,7,823.0,76,ND,0.013,0.012,0.0,0.0,8,k,19,2.94,5492,8.61,2.95,5,4,1,972.2,339.18,7,14,14,9,64.3,0.672,0.669,100.97,3,30,4,0,4,0,0,0,0,1,5,0,corona,redondo
75,76,external_surface_property,e,se,visual-form_and_surface,15,5,844.0,81,ND,0.012,0.018,0.0,0.0,7,k,1,0.0,252,5.53,7.1,8,9,3,472.34,92.43,0,16,15,4,26.7,0.295,0.288,261.92,15,27,3,0,5,3,0,0,0,2,2,1,pepino,largo
76,77,external_surface_property,e,se,visual-form_and_surface,5,13,844.0,81,ND,0.012,0.006,0.0,0.0,7,k,21,3.04,3412,8.14,8.4,8,5,2,1057.34,66.57,0,13,13,6,46.2,0.349,0.345,346.47,11,52,8,0,2,1,0,0,0,0,2,0,cortina,largo
77,78,external_surface_property,e,se,visual-form_and_surface,9,7,1229.0,121,ND,0.008,0.007,0.0,0.0,8,d,1,0.0,433,6.07,3.0,6,5,2,1643.9,177.13,2,14,12,3,25.0,0.253,0.256,189.63,9,25,4,0,6,0,0,0,0,1,1,2,puñal,pequeño
78,79,external_surface_property,e,se,visual-form_and_surface,11,3,823.0,76,ND,0.013,0.013,0.0,0.0,8,d,37,3.61,3043,8.02,8.8,4,3,1,595.11,176.78,5,10,10,1,10.0,0.124,0.139,82.85,5,14,3,0,4,1,0,0,0,0,2,0,plato,redondo
79,80,external_surface_property,e,se,visual-form_and_surface,11,4,823.0,76,ND,0.013,0.013,0.0,0.0,8,d,3,1.1,40,3.69,8.85,8,5,2,81.34,5.4,0,9,9,3,33.3,0.441,0.432,8.75,1,7,3,0,4,0,0,0,0,1,1,0,pomo,redondo
80,81,external_surface_property,e,se,visual-form_and_surface,5,8,823.0,76,ND,0.013,0.006,0.0,0.0,8,d,23,3.14,1620,7.39,7.7,5,4,1,1132.34,483.42,4,9,9,6,66.7,0.617,0.64,0.0,0,0,3,0,2,0,0,0,0,0,4,0,desagüe,redondo
82,83,external_surface_property,e,se,visual-form_and_surface,10,3,844.0,81,ND,0.012,0.012,0.0,0.0,7,d,77,4.34,5907,8.68,7.85,5,4,1,1317.71,254.38,5,13,12,3,25.0,0.272,0.266,128.63,9,25,2,0,4,1,0,0,0,0,5,1,vestido,largo
83,84,external_surface_property,e,se,visual-form_and_surface,9,5,823.0,76,ND,0.013,0.011,0.0,0.0,8,d,26,3.26,1650,7.41,5.2,4,4,1,100.97,18.52,2,13,12,5,41.7,0.476,0.474,47.92,3,14,3,0,3,0,5,0,0,0,1,1,tambor,redondo
84,85,external_surface_property,e,se,visual-form_and_surface,10,8,1076.0,106,ND,0.009,0.009,8.53,8.53,8,i:,11,2.4,1793,7.49,3.6,5,3,2,650.78,23.17,0,17,14,3,21.4,0.243,0.239,562.12,20,36,0,2,6,0,0,0,0,0,6,3,águila,grande
85,86,external_surface_property,e,se,visual-form_and_surface,7,8,823.0,76,ND,0.013,0.009,0.0,0.0,8,i:,1,0.0,4,1.39,5.25,8,6,2,141.39,16.85,0,13,13,3,23.1,0.319,0.294,118.59,10,22,5,0,2,1,0,0,0,4,1,0,orejera,redondo
86,87,external_surface_property,e,se,visual-form_and_surface,17,3,844.0,81,ND,0.012,0.02,0.0,0.0,7,i:,2,0.69,355,5.87,2.55,3,2,1,0.0,0.0,1,11,10,1,10.0,0.144,0.146,108.01,4,11,1,1,2,1,0,0,0,1,4,1,anguila,largo
87,88,external_surface_property,e,se,visual-form_and_surface,29,1,1076.0,106,ND,0.009,0.027,19.51,8.84,8,E,17,2.83,1508,7.32,3.5,8,7,3,369.51,100.69,0,17,15,4,26.7,0.291,0.314,196.87,12,22,2,2,8,1,0,0,0,0,2,2,elefante,grande
88,89,external_surface_property,e,se,visual-form_and_surface,6,9,1076.0,106,ND,0.009,0.006,19.51,8.84,8,E,2,0.69,40,3.69,2.65,3,3,1,0.0,0.0,3,16,13,1,7.7,0.155,0.131,192.64,14,21,2,2,5,1,0,0,0,1,2,3,uapití,grande
89,90,external_surface_property,e,se,visual-form_and_surface,6,7,1076.0,106,ND,0.009,0.006,0.0,0.0,8,I,1,0.0,293,5.68,3.1,3,3,2,0.0,0.0,0,12,10,2,20.0,0.229,0.218,209.48,10,36,0,0,7,0,0,0,0,0,3,2,emú,grande
90,91,external_surface_property,e,se,visual-form_and_surface,9,8,1076.0,106,ND,0.009,0.008,0.0,0.0,8,f,4,1.39,408,6.01,2.85,6,6,2,777.69,14.98,0,14,11,1,9.1,0.121,0.134,537.02,17,38,0,2,6,0,0,0,0,0,3,3,halcón,grande
91,92,external_surface_property,e,se,visual-form_and_surface,9,8,1229.0,121,ND,0.008,0.007,0.0,0.0,8,f,1,0.0,145,4.98,3.8,4,3,1,1039.03,32.82,5,26,21,3,14.3,0.202,0.169,259.81,17,11,2,4,7,1,0,0,0,1,6,5,cervato,pequeño
92,93,external_surface_property,e,se,visual-form_and_surface,17,2,1229.0,121,ND,0.008,0.014,0.0,0.0,8,f,1,0.0,354,5.87,3.25,5,4,1,2077.23,277.85,3,10,9,0,0.0,0.04,0.037,505.99,19,53,0,2,4,1,1,0,0,0,1,1,pinzón,pequeño
93,94,external_surface_property,e,se,visual-form_and_surface,24,1,1229.0,121,ND,0.008,0.02,0.0,0.0,8,f,2,0.69,331,5.8,4.35,4,3,1,273.14,29.33,5,17,15,8,53.3,0.601,0.613,35.23,3,14,0,3,1,1,0,0,0,0,10,2,pulga,pequeño
